h[m], water_content[-], rel_perm[-]
  0.000000,   0.380000,   1.000000
  0.009009,   0.379881,   0.999605
  0.018018,   0.379748,   0.999166
  0.027027,   0.379609,   0.998710
  0.036036,   0.379466,   0.998244
  0.045045,   0.379321,   0.997771
  0.054054,   0.379175,   0.997294
  0.063063,   0.379027,   0.996812
  0.072072,   0.378878,   0.996328
  0.081081,   0.378728,   0.995843
  0.090090,   0.378578,   0.995355
  0.099099,   0.378427,   0.994867
  0.108108,   0.378277,   0.994378
  0.117117,   0.378126,   0.993890
  0.126126,   0.377974,   0.993401
  0.135135,   0.377823,   0.992912
  0.144144,   0.377672,   0.992424
  0.153153,   0.377521,   0.991936
  0.162162,   0.377370,   0.991450
  0.171171,   0.377220,   0.990964
  0.180180,   0.377069,   0.990479
  0.189189,   0.376919,   0.989995
  0.198198,   0.376770,   0.989513
  0.207207,   0.376620,   0.989032
  0.216216,   0.376471,   0.988552
  0.225225,   0.376322,   0.988073
  0.234234,   0.376174,   0.987596
  0.243243,   0.376026,   0.987120
  0.252252,   0.375879,   0.986646
  0.261261,   0.375732,   0.986174
  0.270270,   0.375585,   0.985703
  0.279279,   0.375439,   0.985234
  0.288288,   0.375294,   0.984766
  0.297297,   0.375149,   0.984301
  0.306306,   0.375004,   0.983836
  0.315315,   0.374860,   0.983374
  0.324324,   0.374717,   0.982913
  0.333333,   0.374574,   0.982454
  0.342342,   0.374431,   0.981997
  0.351351,   0.374289,   0.981542
  0.360360,   0.374148,   0.981089
  0.369369,   0.374007,   0.980637
  0.378378,   0.373866,   0.980187
  0.387387,   0.373727,   0.979739
  0.396396,   0.373587,   0.979293
  0.405405,   0.373449,   0.978848
  0.414414,   0.373310,   0.978406
  0.423423,   0.373173,   0.977965
  0.432432,   0.373036,   0.977526
  0.441441,   0.372899,   0.977089
  0.450450,   0.372763,   0.976653
  0.459459,   0.372628,   0.976220
  0.468468,   0.372493,   0.975788
  0.477477,   0.372358,   0.975358
  0.486486,   0.372225,   0.974930
  0.495495,   0.372091,   0.974504
  0.504505,   0.371959,   0.974079
  0.513514,   0.371827,   0.973657
  0.522523,   0.371695,   0.973236
  0.531532,   0.371564,   0.972816
  0.540541,   0.371433,   0.972399
  0.549550,   0.371303,   0.971983
  0.558559,   0.371174,   0.971570
  0.567568,   0.371045,   0.971158
  0.576577,   0.370916,   0.970747
  0.585586,   0.370789,   0.970339
  0.594595,   0.370661,   0.969932
  0.603604,   0.370534,   0.969526
  0.612613,   0.370408,   0.969123
  0.621622,   0.370282,   0.968721
  0.630631,   0.370157,   0.968321
  0.639640,   0.370032,   0.967923
  0.648649,   0.369908,   0.967526
  0.657658,   0.369784,   0.967131
  0.666667,   0.369661,   0.966738
  0.675676,   0.369539,   0.966346
  0.684685,   0.369416,   0.965956
