h[m], water_content[-], rel_perm[-]
  0.000000,   0.410000,   1.000000
  0.009009,   0.409640,   0.998501
  0.018018,   0.409110,   0.996301
  0.027027,   0.408494,   0.993742
  0.036036,   0.407817,   0.990933
  0.045045,   0.407094,   0.987932
  0.054054,   0.406334,   0.984780
  0.063063,   0.405543,   0.981505
  0.072072,   0.404728,   0.978131
  0.081081,   0.403892,   0.974674
  0.090090,   0.403039,   0.971150
  0.099099,   0.402172,   0.967570
  0.108108,   0.401293,   0.963946
  0.117117,   0.400405,   0.960285
  0.126126,   0.399509,   0.956596
  0.135135,   0.398607,   0.952886
  0.144144,   0.397700,   0.949160
  0.153153,   0.396790,   0.945423
  0.162162,   0.395878,   0.941681
  0.171171,   0.394964,   0.937937
  0.180180,   0.394050,   0.934196
  0.189189,   0.393137,   0.930459
  0.198198,   0.392224,   0.926731
  0.207207,   0.391314,   0.923013
  0.216216,   0.390405,   0.919309
  0.225225,   0.389500,   0.915619
  0.234234,   0.388598,   0.911947
  0.243243,   0.387699,   0.908293
  0.252252,   0.386805,   0.904658
  0.261261,   0.385915,   0.901046
  0.270270,   0.385030,   0.897455
  0.279279,   0.384149,   0.893888
  0.288288,   0.383274,   0.890345
  0.297297,   0.382404,   0.886826
  0.306306,   0.381540,   0.883334
  0.315315,   0.380681,   0.879868
  0.324324,   0.379828,   0.876428
  0.333333,   0.378981,   0.873015
  0.342342,   0.378140,   0.869630
  0.351351,   0.377305,   0.866273
  0.360360,   0.376476,   0.862943
  0.369369,   0.375654,   0.859642
  0.378378,   0.374838,   0.856369
  0.387387,   0.374028,   0.853124
  0.396396,   0.373225,   0.849908
  0.405405,   0.372428,   0.846720
  0.414414,   0.371637,   0.843560
  0.423423,   0.370853,   0.840429
  0.432432,   0.370075,   0.837326
  0.441441,   0.369304,   0.834252
  0.450450,   0.368539,   0.831205
  0.459459,   0.367780,   0.828187
  0.468468,   0.367028,   0.825196
  0.477477,   0.366282,   0.822233
  0.486486,   0.365542,   0.819297
  0.495495,   0.364809,   0.816388
  0.504505,   0.364082,   0.813507
  0.513514,   0.363361,   0.810652
  0.522523,   0.362646,   0.807825
  0.531532,   0.361937,   0.805023
  0.540541,   0.361234,   0.802248
  0.549550,   0.360537,   0.799498
  0.558559,   0.359846,   0.796774
  0.567568,   0.359161,   0.794076
  0.576577,   0.358482,   0.791403
  0.585586,   0.357809,   0.788755
  0.594595,   0.357141,   0.786131
  0.603604,   0.356480,   0.783532
  0.612613,   0.355823,   0.780957
  0.621622,   0.355173,   0.778406
  0.630631,   0.354528,   0.775878
  0.639640,   0.353888,   0.773374
  0.648649,   0.353254,   0.770892
  0.657658,   0.352625,   0.768434
  0.666667,   0.352001,   0.765998
  0.675676,   0.351383,   0.763585
  0.684685,   0.350769,   0.761193
  0.693694,   0.350161,   0.758823
  0.702703,   0.349558,   0.756475
  0.711712,   0.348960,   0.754148
  0.720721,   0.348367,   0.751842
  0.729730,   0.347779,   0.749556
  0.738739,   0.347196,   0.747291
  0.747748,   0.346617,   0.745047
  0.756757,   0.346044,   0.742822
  0.765766,   0.345475,   0.740617
  0.774775,   0.344910,   0.738431
  0.783784,   0.344350,   0.736265
  0.792793,   0.343795,   0.734118
  0.801802,   0.343244,   0.731989
  0.810811,   0.342698,   0.729879
  0.819820,   0.342156,   0.727788
  0.828829,   0.341618,   0.725714
  0.837838,   0.341085,   0.723659
  0.846847,   0.340555,   0.721621
  0.855856,   0.340030,   0.719600
  0.864865,   0.339509,   0.717597
  0.873874,   0.338993,   0.715610
  0.882883,   0.338480,   0.713641
  0.891892,   0.337971,   0.711688
  0.900901,   0.337466,   0.709751
  0.909910,   0.336965,   0.707831
  0.918919,   0.336468,   0.705926
  0.927928,   0.335975,   0.704037
  0.936937,   0.335485,   0.702164
  0.945946,   0.334999,   0.700306
  0.954955,   0.334517,   0.698464
  0.963964,   0.334038,   0.696636
