h[m], water_content[-], rel_perm[-]
  0.000000,   0.430000,   1.000000
  0.009009,   0.429401,   0.996621
  0.018018,   0.428245,   0.991419
  0.027027,   0.426724,   0.985287
  0.036036,   0.424919,   0.978531
  0.045045,   0.422883,   0.971332
  0.054054,   0.420658,   0.963814
  0.063063,   0.418275,   0.956065
  0.072072,   0.415763,   0.948157
  0.081081,   0.413145,   0.940144
  0.090090,   0.410441,   0.932070
  0.099099,   0.407669,   0.923971
  0.108108,   0.404845,   0.915876
  0.117117,   0.401981,   0.907809
  0.126126,   0.399090,   0.899789
  0.135135,   0.396182,   0.891833
  0.144144,   0.393266,   0.883954
  0.153153,   0.390350,   0.876161
  0.162162,   0.387441,   0.868465
  0.171171,   0.384544,   0.860870
  0.180180,   0.381666,   0.853383
  0.189189,   0.378809,   0.846007
  0.198198,   0.375979,   0.838746
  0.207207,   0.373178,   0.831602
  0.216216,   0.370408,   0.824575
  0.225225,   0.367672,   0.817667
  0.234234,   0.364972,   0.810878
  0.243243,   0.362309,   0.804207
  0.252252,   0.359684,   0.797654
  0.261261,   0.357098,   0.791219
  0.270270,   0.354552,   0.784898
  0.279279,   0.352046,   0.778692
  0.288288,   0.349581,   0.772599
  0.297297,   0.347156,   0.766616
  0.306306,   0.344771,   0.760743
  0.315315,   0.342427,   0.754976
  0.324324,   0.340124,   0.749315
  0.333333,   0.337860,   0.743757
  0.342342,   0.335635,   0.738299
  0.351351,   0.333449,   0.732941
  0.360360,   0.331302,   0.727679
  0.369369,   0.329193,   0.722512
  0.378378,   0.327120,   0.717437
  0.387387,   0.325085,   0.712453
  0.396396,   0.323086,   0.707558
  0.405405,   0.321122,   0.702748
  0.414414,   0.319193,   0.698024
  0.423423,   0.317298,   0.693381
  0.432432,   0.315436,   0.688819
  0.441441,   0.313608,   0.684336
  0.450450,   0.311811,   0.679929
  0.459459,   0.310045,   0.675597
  0.468468,   0.308311,   0.671339
  0.477477,   0.306606,   0.667151
  0.486486,   0.304931,   0.663034
  0.495495,   0.303285,   0.658984
  0.504505,   0.301667,   0.655001
  0.513514,   0.300076,   0.651083
  0.522523,   0.298513,   0.647228
  0.531532,   0.296975,   0.643435
  0.540541,   0.295463,   0.639703
  0.549550,   0.293977,   0.636029
  0.558559,   0.292515,   0.632413
  0.567568,   0.291077,   0.628854
  0.576577,   0.289662,   0.625349
  0.585586,   0.288271,   0.621898
  0.594595,   0.286901,   0.618499
  0.603604,   0.285554,   0.615152
  0.612613,   0.284228,   0.611855
  0.621622,   0.282923,   0.608607
  0.630631,   0.281639,   0.605407
  0.639640,   0.280374,   0.602253
  0.648649,   0.279129,   0.599146
  0.657658,   0.277903,   0.596083
  0.666667,   0.276696,   0.593064
  0.675676,   0.275507,   0.590087
  0.684685,   0.274336,   0.587153
  0.693694,   0.273183,   0.584259
  0.702703,   0.272046,   0.581406
  0.711712,   0.270927,   0.578592
  0.720721,   0.269823,   0.575816
  0.729730,   0.268736,   0.573078
  0.738739,   0.267664,   0.570377
  0.747748,   0.266608,   0.567712
  0.756757,   0.265567,   0.565082
  0.765766,   0.264540,   0.562486
  0.774775,   0.263528,   0.559925
  0.783784,   0.262530,   0.557396
  0.792793,   0.261545,   0.554901
  0.801802,   0.260574,   0.552437
  0.810811,   0.259617,   0.550004
  0.819820,   0.258672,   0.547601
  0.828829,   0.257740,   0.545229
  0.837838,   0.256820,   0.542886
  0.846847,   0.255913,   0.540572
  0.855856,   0.255017,   0.538286
  0.864865,   0.254133,   0.536028
  0.873874,   0.253261,   0.533798
  0.882883,   0.252399,   0.531593
  0.891892,   0.251549,   0.529415
  0.900901,   0.250710,   0.527263
  0.909910,   0.249881,   0.525136
  0.918919,   0.249063,   0.523033
  0.927928,   0.248254,   0.520955
  0.936937,   0.247456,   0.518901
  0.945946,   0.246667,   0.516870
  0.954955,   0.245888,   0.514862
  0.963964,   0.245119,   0.512876
  0.972973,   0.244359,   0.510913
  0.981982,   0.243608,   0.508971
  0.990991,   0.242865,   0.507051
  1.000000,   0.242132,   0.505152
  1.009009,   0.241407,   0.503273
  1.018018,   0.240690,   0.501415
  1.027027,   0.239982,   0.499576
  1.036036,   0.239282,   0.497758
  1.045045,   0.238590,   0.495958
  1.054054,   0.237906,   0.494177
  1.063063,   0.237229,   0.492415
  1.072072,   0.236560,   0.490672
  1.081081,   0.235899,   0.488946
  1.090090,   0.235244,   0.487238
  1.099099,   0.234597,   0.485547
  1.108108,   0.233957,   0.483874
  1.117117,   0.233324,   0.482217
  1.126126,   0.232698,   0.480577
  1.135135,   0.232078,   0.478953
  1.144144,   0.231465,   0.477345
  1.153153,   0.230859,   0.475753
  1.162162,   0.230259,   0.474176
  1.171171,   0.229665,   0.472615
  1.180180,   0.229077,   0.471069
  1.189189,   0.228496,   0.469538
  1.198198,   0.227920,   0.468021
  1.207207,   0.227350,   0.466518
  1.216216,   0.226786,   0.465030
  1.225225,   0.226228,   0.463556
  1.234234,   0.225675,   0.462095
  1.243243,   0.225128,   0.460648
  1.252252,   0.224586,   0.459214
  1.261261,   0.224050,   0.457793
  1.270270,   0.223519,   0.456385
  1.279279,   0.222993,   0.454990
  1.288288,   0.222472,   0.453608
  1.297297,   0.221956,   0.452237
  1.306306,   0.221445,   0.450879
  1.315315,   0.220939,   0.449533
  1.324324,   0.220437,   0.448199
  1.333333,   0.219941,   0.446877
  1.342342,   0.219449,   0.445565
  1.351351,   0.218961,   0.444266
  1.360360,   0.218478,   0.442977
  1.369369,   0.218000,   0.441700
  1.378378,   0.217526,   0.440433
  1.387387,   0.217056,   0.439177
  1.396396,   0.216591,   0.437932
  1.405405,   0.216129,   0.436697
