h[m], water_content[-], rel_perm[-]
  0.000000,   0.410000,   1.000000
  0.009009,   0.408668,   0.991419
  0.018018,   0.403660,   0.959519
  0.027027,   0.394600,   0.903296
  0.036036,   0.381881,   0.827568
  0.045045,   0.366352,   0.740125
  0.054054,   0.349045,   0.649083
  0.063063,   0.330950,   0.561000
  0.072072,   0.312870,   0.480127
  0.081081,   0.295381,   0.408559
  0.090090,   0.278847,   0.346798
  0.099099,   0.263459,   0.294372
  0.108108,   0.249289,   0.250316
  0.117117,   0.236328,   0.213496
  0.126126,   0.224520,   0.182788
  0.135135,   0.213786,   0.157173
  0.144144,   0.204035,   0.135767
  0.153153,   0.195174,   0.117827
  0.162162,   0.187113,   0.102736
  0.171171,   0.179770,   0.089992
  0.180180,   0.173068,   0.079181
  0.189189,   0.166940,   0.069970
  0.198198,   0.161325,   0.062086
  0.207207,   0.156168,   0.055310
  0.216216,   0.151422,   0.049458
  0.225225,   0.147045,   0.044385
  0.234234,   0.142999,   0.039968
  0.243243,   0.139251,   0.036108
  0.252252,   0.135773,   0.032720
  0.261261,   0.132539,   0.029737
  0.270270,   0.129526,   0.027102
  0.279279,   0.126713,   0.024765
  0.288288,   0.124083,   0.022686
  0.297297,   0.121620,   0.020831
  0.306306,   0.119309,   0.019171
  0.315315,   0.117138,   0.017682
  0.324324,   0.115095,   0.016342
  0.333333,   0.113170,   0.015133
  0.342342,   0.111353,   0.014040
  0.351351,   0.109636,   0.013050
  0.360360,   0.108012,   0.012150
  0.369369,   0.106473,   0.011330
  0.378378,   0.105014,   0.010583
  0.387387,   0.103629,   0.009899
  0.396396,   0.102312,   0.009273
  0.405405,   0.101059,   0.008699
  0.414414,   0.099866,   0.008171
  0.423423,   0.098728,   0.007685
  0.432432,   0.097642,   0.007237
  0.441441,   0.096605,   0.006823
  0.450450,   0.095614,   0.006440
  0.459459,   0.094666,   0.006085
  0.468468,   0.093758,   0.005755
  0.477477,   0.092888,   0.005449
  0.486486,   0.092053,   0.005165
  0.495495,   0.091252,   0.004900
  0.504505,   0.090483,   0.004652
  0.513514,   0.089744,   0.004422
  0.522523,   0.089033,   0.004206
  0.531532,   0.088349,   0.004004
  0.540541,   0.087691,   0.003815
  0.549550,   0.087056,   0.003637
  0.558559,   0.086445,   0.003471
  0.567568,   0.085855,   0.003314
  0.576577,   0.085285,   0.003167
  0.585586,   0.084736,   0.003028
  0.594595,   0.084205,   0.002898
  0.603604,   0.083691,   0.002775
  0.612613,   0.083195,   0.002658
  0.621622,   0.082714,   0.002548
  0.630631,   0.082249,   0.002445
  0.639640,   0.081799,   0.002346
  0.648649,   0.081363,   0.002253
  0.657658,   0.080940,   0.002165
  0.666667,   0.080530,   0.002082
  0.675676,   0.080132,   0.002002
  0.684685,   0.079747,   0.001927
  0.693694,   0.079372,   0.001855
  0.702703,   0.079008,   0.001787
  0.711712,   0.078655,   0.001722
  0.720721,   0.078311,   0.001661
  0.729730,   0.077977,   0.001602
  0.738739,   0.077652,   0.001546
  0.747748,   0.077336,   0.001493
  0.756757,   0.077029,   0.001442
  0.765766,   0.076730,   0.001393
  0.774775,   0.076438,   0.001346
  0.783784,   0.076154,   0.001302
  0.792793,   0.075877,   0.001260
  0.801802,   0.075608,   0.001219
  0.810811,   0.075345,   0.001180
  0.819820,   0.075089,   0.001143
  0.828829,   0.074839,   0.001107
  0.837838,   0.074595,   0.001073
  0.846847,   0.074357,   0.001040
  0.855856,   0.074124,   0.001009
  0.864865,   0.073897,   0.000978
  0.873874,   0.073675,   0.000949
  0.882883,   0.073459,   0.000921
  0.891892,   0.073247,   0.000895
  0.900901,   0.073040,   0.000869
  0.909910,   0.072838,   0.000844
  0.918919,   0.072641,   0.000820
  0.927928,   0.072447,   0.000797
  0.936937,   0.072258,   0.000775
  0.945946,   0.072073,   0.000754
  0.954955,   0.071892,   0.000733
  0.963964,   0.071715,   0.000714
  0.972973,   0.071541,   0.000695
  0.981982,   0.071371,   0.000676
  0.990991,   0.071205,   0.000659
  1.000000,   0.071041,   0.000641
  1.009009,   0.070882,   0.000625
  1.018018,   0.070725,   0.000609
  1.027027,   0.070572,   0.000594
  1.036036,   0.070421,   0.000579
  1.045045,   0.070274,   0.000564
  1.054054,   0.070129,   0.000550
  1.063063,   0.069987,   0.000537
  1.072072,   0.069848,   0.000524
  1.081081,   0.069712,   0.000511
  1.090090,   0.069578,   0.000499
  1.099099,   0.069446,   0.000487
  1.108108,   0.069317,   0.000476
  1.117117,   0.069190,   0.000465
  1.126126,   0.069066,   0.000454
  1.135135,   0.068944,   0.000444
  1.144144,   0.068824,   0.000433
  1.153153,   0.068706,   0.000424
  1.162162,   0.068590,   0.000414
  1.171171,   0.068477,   0.000405
  1.180180,   0.068365,   0.000396
  1.189189,   0.068255,   0.000387
  1.198198,   0.068147,   0.000379
  1.207207,   0.068041,   0.000371
  1.216216,   0.067937,   0.000363
  1.225225,   0.067834,   0.000355
  1.234234,   0.067733,   0.000348
  1.243243,   0.067634,   0.000340
  1.252252,   0.067536,   0.000333
  1.261261,   0.067440,   0.000326
  1.270270,   0.067346,   0.000320
  1.279279,   0.067253,   0.000313
  1.288288,   0.067161,   0.000307
  1.297297,   0.067071,   0.000301
  1.306306,   0.066982,   0.000295
  1.315315,   0.066895,   0.000289
  1.324324,   0.066809,   0.000283
  1.333333,   0.066724,   0.000278
  1.342342,   0.066641,   0.000272
  1.351351,   0.066559,   0.000267
  1.360360,   0.066478,   0.000262
  1.369369,   0.066399,   0.000257
  1.378378,   0.066320,   0.000252
  1.387387,   0.066243,   0.000247
  1.396396,   0.066167,   0.000243
  1.405405,   0.066092,   0.000238
  1.414414,   0.066018,   0.000234
  1.423423,   0.065945,   0.000229
  1.432432,   0.065873,   0.000225
  1.441441,   0.065802,   0.000221
  1.450450,   0.065732,   0.000217
  1.459459,   0.065664,   0.000213
  1.468468,   0.065596,   0.000210
  1.477477,   0.065529,   0.000206
  1.486486,   0.065463,   0.000202
  1.495495,   0.065398,   0.000199
  1.504505,   0.065333,   0.000195
  1.513514,   0.065270,   0.000192
  1.522523,   0.065208,   0.000189
  1.531532,   0.065146,   0.000185
  1.540541,   0.065085,   0.000182
  1.549550,   0.065025,   0.000179
  1.558559,   0.064966,   0.000176
  1.567568,   0.064907,   0.000173
  1.576577,   0.064850,   0.000170
  1.585586,   0.064793,   0.000168
  1.594595,   0.064736,   0.000165
  1.603604,   0.064681,   0.000162
  1.612613,   0.064626,   0.000159
  1.621622,   0.064572,   0.000157
  1.630631,   0.064518,   0.000154
  1.639640,   0.064466,   0.000152
  1.648649,   0.064413,   0.000150
  1.657658,   0.064362,   0.000147
  1.666667,   0.064311,   0.000145
  1.675676,   0.064261,   0.000143
  1.684685,   0.064211,   0.000140
  1.693694,   0.064162,   0.000138
  1.702703,   0.064114,   0.000136
  1.711712,   0.064066,   0.000134
  1.720721,   0.064019,   0.000132
  1.729730,   0.063972,   0.000130
  1.738739,   0.063926,   0.000128
  1.747748,   0.063880,   0.000126
  1.756757,   0.063835,   0.000124
  1.765766,   0.063791,   0.000122
  1.774775,   0.063747,   0.000121
  1.783784,   0.063703,   0.000119
  1.792793,   0.063660,   0.000117
  1.801802,   0.063617,   0.000115
  1.810811,   0.063575,   0.000114
  1.819820,   0.063534,   0.000112
  1.828829,   0.063493,   0.000111
  1.837838,   0.063452,   0.000109
  1.846847,   0.063412,   0.000107
  1.855856,   0.063372,   0.000106
  1.864865,   0.063333,   0.000104
  1.873874,   0.063294,   0.000103
  1.882883,   0.063255,   0.000102
  1.891892,   0.063217,   0.000100
  1.900901,   0.063179,   0.000099
  1.909910,   0.063142,   0.000097
  1.918919,   0.063105,   0.000096
  1.927928,   0.063069,   0.000095
  1.936937,   0.063033,   0.000093
  1.945946,   0.062997,   0.000092
  1.954955,   0.062962,   0.000091
  1.963964,   0.062927,   0.000090
