h[m], water_content[-], rel_perm[-]
  0.000000,   0.430000,   1.000000
  0.009009,   0.428972,   0.992858
  0.018018,   0.423531,   0.955602
  0.027027,   0.411606,   0.877044
  0.036036,   0.392871,   0.762017
  0.045045,   0.368605,   0.627778
  0.054054,   0.341056,   0.494593
  0.063063,   0.312574,   0.377149
  0.072072,   0.284998,   0.281788
  0.081081,   0.259467,   0.208456
  0.090090,   0.236508,   0.153896
  0.099099,   0.216228,   0.114011
  0.108108,   0.198497,   0.085058
  0.117117,   0.183071,   0.064038
  0.126126,   0.169668,   0.048707
  0.135135,   0.158014,   0.037442
  0.144144,   0.147856,   0.029090
  0.153153,   0.138976,   0.022838
  0.162162,   0.131183,   0.018109
  0.171171,   0.124317,   0.014497
  0.180180,   0.118244,   0.011710
  0.189189,   0.112849,   0.009539
  0.198198,   0.108039,   0.007833
  0.207207,   0.103734,   0.006480
  0.216216,   0.099866,   0.005399
  0.225225,   0.096379,   0.004528
  0.234234,   0.093224,   0.003820
  0.243243,   0.090361,   0.003242
  0.252252,   0.087755,   0.002767
  0.261261,   0.085375,   0.002373
  0.270270,   0.083197,   0.002045
  0.279279,   0.081197,   0.001771
  0.288288,   0.079358,   0.001540
  0.297297,   0.077661,   0.001345
  0.306306,   0.076093,   0.001178
  0.315315,   0.074640,   0.001037
  0.324324,   0.073291,   0.000915
  0.333333,   0.072037,   0.000810
  0.342342,   0.070869,   0.000720
  0.351351,   0.069778,   0.000641
  0.360360,   0.068759,   0.000573
  0.369369,   0.067804,   0.000513
  0.378378,   0.066909,   0.000461
  0.387387,   0.066068,   0.000415
  0.396396,   0.065277,   0.000375
  0.405405,   0.064532,   0.000339
  0.414414,   0.063830,   0.000307
  0.423423,   0.063167,   0.000279
  0.432432,   0.062540,   0.000254
  0.441441,   0.061947,   0.000232
  0.450450,   0.061386,   0.000212
  0.459459,   0.060853,   0.000194
  0.468468,   0.060347,   0.000178
  0.477477,   0.059866,   0.000163
  0.486486,   0.059409,   0.000150
  0.495495,   0.058974,   0.000138
  0.504505,   0.058559,   0.000127
  0.513514,   0.058164,   0.000118
  0.522523,   0.057787,   0.000109
  0.531532,   0.057426,   0.000101
  0.540541,   0.057081,   0.000094
  0.549550,   0.056752,   0.000087
  0.558559,   0.056436,   0.000081
  0.567568,   0.056134,   0.000075
  0.576577,   0.055844,   0.000070
  0.585586,   0.055566,   0.000065
  0.594595,   0.055300,   0.000061
  0.603604,   0.055044,   0.000057
  0.612613,   0.054797,   0.000053
  0.621622,   0.054561,   0.000050
  0.630631,   0.054333,   0.000047
  0.639640,   0.054114,   0.000044
  0.648649,   0.053903,   0.000041
  0.657658,   0.053699,   0.000039
  0.666667,   0.053503,   0.000036
  0.675676,   0.053314,   0.000034
  0.684685,   0.053131,   0.000032
  0.693694,   0.052955,   0.000031
  0.702703,   0.052785,   0.000029
  0.711712,   0.052620,   0.000027
  0.720721,   0.052461,   0.000026
  0.729730,   0.052307,   0.000024
  0.738739,   0.052159,   0.000023
  0.747748,   0.052014,   0.000022
  0.756757,   0.051875,   0.000021
  0.765766,   0.051740,   0.000020
  0.774775,   0.051609,   0.000019
  0.783784,   0.051482,   0.000018
  0.792793,   0.051359,   0.000017
  0.801802,   0.051240,   0.000016
  0.810811,   0.051124,   0.000015
  0.819820,   0.051011,   0.000014
  0.828829,   0.050902,   0.000014
  0.837838,   0.050796,   0.000013
  0.846847,   0.050693,   0.000012
  0.855856,   0.050593,   0.000012
  0.864865,   0.050495,   0.000011
  0.873874,   0.050400,   0.000011
  0.882883,   0.050308,   0.000010
  0.891892,   0.050219,   0.000010
  0.900901,   0.050131,   0.000009
  0.909910,   0.050046,   0.000009
  0.918919,   0.049964,   0.000009
  0.927928,   0.049883,   0.000008
  0.936937,   0.049804,   0.000008
  0.945946,   0.049728,   0.000008
  0.954955,   0.049653,   0.000007
  0.963964,   0.049580,   0.000007
  0.972973,   0.049509,   0.000007
  0.981982,   0.049440,   0.000006
  0.990991,   0.049373,   0.000006
  1.000000,   0.049307,   0.000006
  1.009009,   0.049242,   0.000006
  1.018018,   0.049180,   0.000005
  1.027027,   0.049118,   0.000005
  1.036036,   0.049058,   0.000005
  1.045045,   0.049000,   0.000005
  1.054054,   0.048942,   0.000005
  1.063063,   0.048887,   0.000004
  1.072072,   0.048832,   0.000004
