h[m], water_content[-], rel_perm[-]
  0.000000,   0.380000,   1.000000
  0.009009,   0.379462,   0.997746
  0.018018,   0.378747,   0.994914
  0.027027,   0.377956,   0.991851
  0.036036,   0.377116,   0.988652
  0.045045,   0.376243,   0.985368
  0.054054,   0.375347,   0.982029
  0.063063,   0.374436,   0.978659
  0.072072,   0.373513,   0.975271
  0.081081,   0.372584,   0.971880
  0.090090,   0.371651,   0.968492
  0.099099,   0.370717,   0.965117
  0.108108,   0.369784,   0.961758
  0.117117,   0.368853,   0.958421
  0.126126,   0.367927,   0.955110
  0.135135,   0.367005,   0.951827
  0.144144,   0.366089,   0.948574
  0.153153,   0.365181,   0.945354
  0.162162,   0.364279,   0.942167
  0.171171,   0.363385,   0.939015
  0.180180,   0.362500,   0.935898
  0.189189,   0.361623,   0.932818
  0.198198,   0.360755,   0.929774
  0.207207,   0.359897,   0.926767
  0.216216,   0.359047,   0.923796
  0.225225,   0.358207,   0.920863
  0.234234,   0.357377,   0.917966
  0.243243,   0.356555,   0.915106
  0.252252,   0.355744,   0.912283
  0.261261,   0.354942,   0.909495
  0.270270,   0.354149,   0.906743
  0.279279,   0.353366,   0.904026
  0.288288,   0.352593,   0.901345
  0.297297,   0.351828,   0.898697
  0.306306,   0.351073,   0.896084
  0.315315,   0.350327,   0.893504
  0.324324,   0.349590,   0.890957
  0.333333,   0.348863,   0.888442
  0.342342,   0.348144,   0.885960
  0.351351,   0.347433,   0.883509
  0.360360,   0.346732,   0.881089
  0.369369,   0.346038,   0.878699
  0.378378,   0.345354,   0.876339
  0.387387,   0.344677,   0.874009
  0.396396,   0.344009,   0.871707
  0.405405,   0.343348,   0.869434
  0.414414,   0.342696,   0.867189
  0.423423,   0.342051,   0.864971
  0.432432,   0.341414,   0.862780
  0.441441,   0.340784,   0.860616
  0.450450,   0.340162,   0.858477
  0.459459,   0.339547,   0.856364
  0.468468,   0.338939,   0.854276
  0.477477,   0.338339,   0.852212
  0.486486,   0.337745,   0.850173
