h[m], water_content[-], rel_perm[-]
  0.000000,   0.390000,   1.000000
  0.009009,   0.388788,   0.993434
  0.018018,   0.386670,   0.983880
  0.027027,   0.384046,   0.973042
  0.036036,   0.381080,   0.961502
  0.045045,   0.377880,   0.949586
  0.054054,   0.374522,   0.937507
  0.063063,   0.371062,   0.925408
  0.072072,   0.367547,   0.913391
  0.081081,   0.364009,   0.901526
  0.090090,   0.360476,   0.889863
  0.099099,   0.356967,   0.878437
  0.108108,   0.353500,   0.867270
  0.117117,   0.350086,   0.856378
  0.126126,   0.346733,   0.845768
  0.135135,   0.343449,   0.835444
  0.144144,   0.340238,   0.825407
  0.153153,   0.337102,   0.815653
  0.162162,   0.334045,   0.806179
  0.171171,   0.331065,   0.796977
  0.180180,   0.328165,   0.788042
  0.189189,   0.325342,   0.779366
  0.198198,   0.322595,   0.770941
  0.207207,   0.319925,   0.762758
  0.216216,   0.317328,   0.754810
  0.225225,   0.314803,   0.747088
  0.234234,   0.312348,   0.739584
  0.243243,   0.309961,   0.732290
  0.252252,   0.307640,   0.725198
  0.261261,   0.305382,   0.718300
  0.270270,   0.303187,   0.711589
  0.279279,   0.301051,   0.705058
  0.288288,   0.298972,   0.698701
  0.297297,   0.296949,   0.692509
  0.306306,   0.294980,   0.686478
  0.315315,   0.293062,   0.680601
  0.324324,   0.291194,   0.674872
  0.333333,   0.289374,   0.669286
  0.342342,   0.287601,   0.663837
  0.351351,   0.285872,   0.658520
  0.360360,   0.284186,   0.653331
  0.369369,   0.282541,   0.648264
  0.378378,   0.280937,   0.643316
  0.387387,   0.279371,   0.638482
  0.396396,   0.277842,   0.633758
  0.405405,   0.276349,   0.629140
  0.414414,   0.274891,   0.624624
  0.423423,   0.273466,   0.620208
  0.432432,   0.272074,   0.615886
  0.441441,   0.270713,   0.611657
  0.450450,   0.269382,   0.607518
  0.459459,   0.268080,   0.603464
  0.468468,   0.266806,   0.599494
  0.477477,   0.265560,   0.595605
  0.486486,   0.264340,   0.591793
  0.495495,   0.263145,   0.588057
  0.504505,   0.261975,   0.584395
  0.513514,   0.260829,   0.580803
  0.522523,   0.259706,   0.577280
  0.531532,   0.258605,   0.573824
  0.540541,   0.257527,   0.570432
  0.549550,   0.256469,   0.567103
  0.558559,   0.255431,   0.563834
  0.567568,   0.254414,   0.560625
  0.576577,   0.253415,   0.557473
  0.585586,   0.252435,   0.554377
  0.594595,   0.251474,   0.551334
  0.603604,   0.250529,   0.548345
  0.612613,   0.249602,   0.545406
  0.621622,   0.248692,   0.542517
  0.630631,   0.247797,   0.539676
  0.639640,   0.246918,   0.536883
  0.648649,   0.246054,   0.534135
  0.657658,   0.245206,   0.531431
  0.666667,   0.244371,   0.528771
  0.675676,   0.243551,   0.526153
  0.684685,   0.242744,   0.523576
  0.693694,   0.241950,   0.521040
  0.702703,   0.241169,   0.518542
  0.711712,   0.240401,   0.516083
  0.720721,   0.239645,   0.513660
  0.729730,   0.238901,   0.511274
  0.738739,   0.238169,   0.508923
  0.747748,   0.237448,   0.506606
  0.756757,   0.236738,   0.504324
  0.765766,   0.236039,   0.502074
  0.774775,   0.235351,   0.499856
  0.783784,   0.234672,   0.497669
  0.792793,   0.234004,   0.495513
  0.801802,   0.233346,   0.493387
  0.810811,   0.232697,   0.491290
  0.819820,   0.232057,   0.489222
  0.828829,   0.231427,   0.487181
  0.837838,   0.230805,   0.485168
  0.846847,   0.230192,   0.483181
  0.855856,   0.229588,   0.481221
  0.864865,   0.228992,   0.479286
  0.873874,   0.228404,   0.477376
  0.882883,   0.227824,   0.475491
  0.891892,   0.227252,   0.473629
  0.900901,   0.226688,   0.471791
  0.909910,   0.226131,   0.469976
  0.918919,   0.225581,   0.468183
  0.927928,   0.225038,   0.466413
  0.936937,   0.224502,   0.464664
  0.945946,   0.223974,   0.462936
  0.954955,   0.223451,   0.461229
  0.963964,   0.222936,   0.459542
  0.972973,   0.222427,   0.457875
  0.981982,   0.221924,   0.456227
  0.990991,   0.221427,   0.454599
  1.000000,   0.220936,   0.452989
  1.009009,   0.220452,   0.451398
  1.018018,   0.219973,   0.449825
  1.027027,   0.219499,   0.448270
  1.036036,   0.219032,   0.446732
  1.045045,   0.218569,   0.445211
  1.054054,   0.218113,   0.443707
  1.063063,   0.217661,   0.442219
  1.072072,   0.217215,   0.440747
  1.081081,   0.216773,   0.439292
  1.090090,   0.216337,   0.437852
  1.099099,   0.215905,   0.436427
  1.108108,   0.215479,   0.435017
  1.117117,   0.215057,   0.433622
  1.126126,   0.214640,   0.432241
  1.135135,   0.214227,   0.430875
  1.144144,   0.213818,   0.429523
  1.153153,   0.213414,   0.428184
  1.162162,   0.213015,   0.426859
  1.171171,   0.212619,   0.425548
  1.180180,   0.212228,   0.424249
  1.189189,   0.211841,   0.422963
  1.198198,   0.211458,   0.421690
  1.207207,   0.211079,   0.420430
  1.216216,   0.210703,   0.419181
  1.225225,   0.210332,   0.417945
  1.234234,   0.209964,   0.416721
  1.243243,   0.209600,   0.415508
  1.252252,   0.209240,   0.414307
  1.261261,   0.208883,   0.413117
  1.270270,   0.208529,   0.411938
  1.279279,   0.208179,   0.410770
  1.288288,   0.207833,   0.409613
  1.297297,   0.207490,   0.408466
  1.306306,   0.207150,   0.407330
  1.315315,   0.206813,   0.406204
  1.324324,   0.206480,   0.405089
  1.333333,   0.206150,   0.403983
  1.342342,   0.205822,   0.402887
  1.351351,   0.205498,   0.401801
  1.360360,   0.205177,   0.400724
  1.369369,   0.204859,   0.399657
  1.378378,   0.204543,   0.398599
  1.387387,   0.204231,   0.397550
  1.396396,   0.203921,   0.396511
  1.405405,   0.203615,   0.395480
  1.414414,   0.203310,   0.394458
  1.423423,   0.203009,   0.393444
  1.432432,   0.202710,   0.392439
  1.441441,   0.202414,   0.391442
  1.450450,   0.202121,   0.390454
  1.459459,   0.201830,   0.389474
  1.468468,   0.201541,   0.388501
  1.477477,   0.201255,   0.387537
  1.486486,   0.200972,   0.386581
  1.495495,   0.200690,   0.385632
  1.504505,   0.200412,   0.384691
  1.513514,   0.200135,   0.383757
  1.522523,   0.199861,   0.382831
  1.531532,   0.199589,   0.381912
  1.540541,   0.199319,   0.381000
  1.549550,   0.199052,   0.380096
  1.558559,   0.198787,   0.379198
  1.567568,   0.198523,   0.378307
  1.576577,   0.198262,   0.377424
  1.585586,   0.198004,   0.376547
  1.594595,   0.197747,   0.375676
  1.603604,   0.197492,   0.374812
  1.612613,   0.197239,   0.373955
  1.621622,   0.196988,   0.373104
  1.630631,   0.196740,   0.372260
  1.639640,   0.196493,   0.371421
  1.648649,   0.196248,   0.370589
  1.657658,   0.196005,   0.369763
  1.666667,   0.195763,   0.368943
  1.675676,   0.195524,   0.368129
  1.684685,   0.195286,   0.367321
  1.693694,   0.195051,   0.366519
  1.702703,   0.194817,   0.365722
  1.711712,   0.194584,   0.364931
  1.720721,   0.194354,   0.364146
  1.729730,   0.194125,   0.363366
  1.738739,   0.193898,   0.362592
  1.747748,   0.193672,   0.361823
  1.756757,   0.193449,   0.361060
  1.765766,   0.193226,   0.360301
  1.774775,   0.193006,   0.359548
  1.783784,   0.192787,   0.358800
  1.792793,   0.192569,   0.358058
  1.801802,   0.192353,   0.357320
  1.810811,   0.192139,   0.356587
  1.819820,   0.191926,   0.355859
  1.828829,   0.191715,   0.355136
  1.837838,   0.191505,   0.354418
  1.846847,   0.191296,   0.353705
  1.855856,   0.191089,   0.352996
  1.864865,   0.190884,   0.352292
  1.873874,   0.190680,   0.351593
  1.882883,   0.190477,   0.350898
  1.891892,   0.190275,   0.350208
  1.900901,   0.190075,   0.349522
  1.909910,   0.189877,   0.348840
  1.918919,   0.189679,   0.348163
  1.927928,   0.189483,   0.347490
  1.936937,   0.189289,   0.346822
  1.945946,   0.189095,   0.346158
  1.954955,   0.188903,   0.345498
  1.963964,   0.188712,   0.344842
  1.972973,   0.188523,   0.344190
  1.981982,   0.188334,   0.343542
  1.990991,   0.188147,   0.342898
  2.000000,   0.187961,   0.342258
  2.009009,   0.187776,   0.341622
  2.018018,   0.187593,   0.340990
  2.027027,   0.187410,   0.340362
  2.036036,   0.187229,   0.339738
  2.045045,   0.187049,   0.339117
  2.054054,   0.186870,   0.338500
  2.063063,   0.186692,   0.337887
  2.072072,   0.186515,   0.337277
  2.081081,   0.186339,   0.336671
  2.090090,   0.186165,   0.336069
  2.099099,   0.185991,   0.335470
  2.108108,   0.185819,   0.334875
  2.117117,   0.185648,   0.334283
  2.126126,   0.185477,   0.333694
  2.135135,   0.185308,   0.333109
  2.144144,   0.185140,   0.332528
  2.153153,   0.184972,   0.331949
  2.162162,   0.184806,   0.331374
  2.171171,   0.184641,   0.330803
  2.180180,   0.184476,   0.330234
  2.189189,   0.184313,   0.329669
  2.198198,   0.184151,   0.329107
  2.207207,   0.183989,   0.328548
  2.216216,   0.183829,   0.327992
  2.225225,   0.183669,   0.327439
  2.234234,   0.183511,   0.326890
  2.243243,   0.183353,   0.326343
  2.252252,   0.183196,   0.325799
  2.261261,   0.183040,   0.325259
  2.270270,   0.182885,   0.324721
  2.279279,   0.182731,   0.324186
  2.288288,   0.182578,   0.323655
  2.297297,   0.182426,   0.323126
  2.306306,   0.182274,   0.322600
  2.315315,   0.182123,   0.322076
  2.324324,   0.181974,   0.321556
  2.333333,   0.181825,   0.321038
  2.342342,   0.181676,   0.320523
  2.351351,   0.181529,   0.320011
  2.360360,   0.181383,   0.319501
  2.369369,   0.181237,   0.318994
  2.378378,   0.181092,   0.318490
  2.387387,   0.180948,   0.317988
  2.396396,   0.180804,   0.317489
  2.405405,   0.180662,   0.316993
  2.414414,   0.180520,   0.316499
  2.423423,   0.180379,   0.316008
  2.432432,   0.180239,   0.315519
  2.441441,   0.180099,   0.315032
  2.450450,   0.179960,   0.314548
  2.459459,   0.179822,   0.314067
  2.468468,   0.179685,   0.313588
  2.477477,   0.179548,   0.313111
  2.486486,   0.179412,   0.312637
  2.495495,   0.179277,   0.312165
  2.504505,   0.179142,   0.311696
  2.513514,   0.179009,   0.311229
  2.522523,   0.178876,   0.310764
  2.531532,   0.178743,   0.310301
  2.540541,   0.178611,   0.309841
  2.549550,   0.178480,   0.309383
  2.558559,   0.178350,   0.308927
  2.567568,   0.178220,   0.308473
  2.576577,   0.178091,   0.308022
  2.585586,   0.177963,   0.307573
  2.594595,   0.177835,   0.307126
  2.603604,   0.177708,   0.306681
  2.612613,   0.177581,   0.306238
  2.621622,   0.177455,   0.305797
  2.630631,   0.177330,   0.305359
  2.639640,   0.177205,   0.304922
  2.648649,   0.177081,   0.304488
  2.657658,   0.176958,   0.304055
  2.666667,   0.176835,   0.303625
  2.675676,   0.176713,   0.303196
  2.684685,   0.176591,   0.302770
  2.693694,   0.176470,   0.302345
  2.702703,   0.176350,   0.301923
  2.711712,   0.176230,   0.301502
  2.720721,   0.176110,   0.301084
  2.729730,   0.175992,   0.300667
  2.738739,   0.175874,   0.300252
  2.747748,   0.175756,   0.299839
  2.756757,   0.175639,   0.299428
  2.765766,   0.175522,   0.299019
  2.774775,   0.175407,   0.298612
  2.783784,   0.175291,   0.298207
  2.792793,   0.175176,   0.297803
  2.801802,   0.175062,   0.297401
  2.810811,   0.174948,   0.297001
  2.819820,   0.174835,   0.296603
  2.828829,   0.174722,   0.296206
  2.837838,   0.174610,   0.295811
  2.846847,   0.174498,   0.295418
  2.855856,   0.174387,   0.295027
  2.864865,   0.174276,   0.294637
  2.873874,   0.174166,   0.294249
  2.882883,   0.174056,   0.293863
  2.891892,   0.173947,   0.293479
  2.900901,   0.173839,   0.293096
  2.909910,   0.173730,   0.292714
  2.918919,   0.173623,   0.292335
  2.927928,   0.173515,   0.291957
  2.936937,   0.173409,   0.291581
  2.945946,   0.173302,   0.291206
  2.954955,   0.173197,   0.290833
  2.963964,   0.173091,   0.290461
  2.972973,   0.172986,   0.290091
  2.981982,   0.172882,   0.289722
  2.990991,   0.172778,   0.289356
  3.000000,   0.172674,   0.288990
  3.009009,   0.172571,   0.288626
  3.018018,   0.172469,   0.288264
  3.027027,   0.172367,   0.287903
  3.036036,   0.172265,   0.287544
  3.045045,   0.172164,   0.287186
  3.054054,   0.172063,   0.286829
  3.063063,   0.171962,   0.286474
  3.072072,   0.171862,   0.286121
  3.081081,   0.171763,   0.285769
  3.090090,   0.171664,   0.285418
  3.099099,   0.171565,   0.285069
  3.108108,   0.171466,   0.284721
  3.117117,   0.171369,   0.284375
  3.126126,   0.171271,   0.284030
  3.135135,   0.171174,   0.283686
  3.144144,   0.171077,   0.283344
  3.153153,   0.170981,   0.283003
  3.162162,   0.170885,   0.282664
  3.171171,   0.170790,   0.282325
  3.180180,   0.170695,   0.281988
  3.189189,   0.170600,   0.281653
  3.198198,   0.170506,   0.281319
  3.207207,   0.170412,   0.280986
  3.216216,   0.170318,   0.280654
  3.225225,   0.170225,   0.280324
  3.234234,   0.170132,   0.279995
  3.243243,   0.170040,   0.279667
  3.252252,   0.169948,   0.279341
  3.261261,   0.169856,   0.279016
  3.270270,   0.169765,   0.278692
  3.279279,   0.169674,   0.278369
  3.288288,   0.169583,   0.278047
  3.297297,   0.169493,   0.277727
  3.306306,   0.169403,   0.277408
  3.315315,   0.169314,   0.277090
  3.324324,   0.169225,   0.276774
  3.333333,   0.169136,   0.276458
  3.342342,   0.169047,   0.276144
  3.351351,   0.168959,   0.275831
  3.360360,   0.168872,   0.275519
  3.369369,   0.168784,   0.275208
  3.378378,   0.168697,   0.274899
  3.387387,   0.168610,   0.274590
  3.396396,   0.168524,   0.274283
  3.405405,   0.168438,   0.273977
  3.414414,   0.168352,   0.273672
  3.423423,   0.168267,   0.273368
  3.432432,   0.168182,   0.273065
  3.441441,   0.168097,   0.272764
  3.450450,   0.168013,   0.272463
  3.459459,   0.167928,   0.272164
  3.468468,   0.167845,   0.271865
  3.477477,   0.167761,   0.271568
  3.486486,   0.167678,   0.271272
  3.495495,   0.167595,   0.270977
  3.504505,   0.167513,   0.270683
  3.513514,   0.167430,   0.270389
  3.522523,   0.167349,   0.270098
  3.531532,   0.167267,   0.269807
  3.540541,   0.167186,   0.269517
  3.549550,   0.167105,   0.269228
  3.558559,   0.167024,   0.268940
  3.567568,   0.166944,   0.268653
  3.576577,   0.166863,   0.268367
  3.585586,   0.166784,   0.268082
  3.594595,   0.166704,   0.267799
  3.603604,   0.166625,   0.267516
  3.612613,   0.166546,   0.267234
  3.621622,   0.166467,   0.266953
  3.630631,   0.166389,   0.266673
  3.639640,   0.166311,   0.266394
  3.648649,   0.166233,   0.266116
  3.657658,   0.166155,   0.265839
  3.666667,   0.166078,   0.265563
  3.675676,   0.166001,   0.265288
  3.684685,   0.165924,   0.265014
  3.693694,   0.165848,   0.264741
  3.702703,   0.165772,   0.264469
