h[m], water_content[-], rel_perm[-]
  0.000000,   0.460000,   1.000000
  0.009009,   0.459655,   0.998891
  0.018018,   0.459111,   0.997143
  0.027027,   0.458457,   0.995041
  0.036036,   0.457721,   0.992677
  0.045045,   0.456920,   0.990107
  0.054054,   0.456064,   0.987365
  0.063063,   0.455163,   0.984479
  0.072072,   0.454223,   0.981469
  0.081081,   0.453249,   0.978352
  0.090090,   0.452245,   0.975143
  0.099099,   0.451214,   0.971854
  0.108108,   0.450161,   0.968495
  0.117117,   0.449088,   0.965076
  0.126126,   0.447998,   0.961603
  0.135135,   0.446892,   0.958086
  0.144144,   0.445772,   0.954529
  0.153153,   0.444641,   0.950939
  0.162162,   0.443501,   0.947322
  0.171171,   0.442351,   0.943681
  0.180180,   0.441195,   0.940021
  0.189189,   0.440032,   0.936347
  0.198198,   0.438865,   0.932661
  0.207207,   0.437694,   0.928967
  0.216216,   0.436520,   0.925268
  0.225225,   0.435344,   0.921567
  0.234234,   0.434167,   0.917866
  0.243243,   0.432989,   0.914168
  0.252252,   0.431812,   0.910474
  0.261261,   0.430636,   0.906787
  0.270270,   0.429460,   0.903109
  0.279279,   0.428287,   0.899440
  0.288288,   0.427116,   0.895783
  0.297297,   0.425948,   0.892139
  0.306306,   0.424784,   0.888509
  0.315315,   0.423622,   0.884894
  0.324324,   0.422465,   0.881295
  0.333333,   0.421312,   0.877714
  0.342342,   0.420164,   0.874151
  0.351351,   0.419021,   0.870606
  0.360360,   0.417882,   0.867081
  0.369369,   0.416749,   0.863577
  0.378378,   0.415621,   0.860093
  0.387387,   0.414499,   0.856631
  0.396396,   0.413383,   0.853190
  0.405405,   0.412273,   0.849772
  0.414414,   0.411169,   0.846376
  0.423423,   0.410071,   0.843003
  0.432432,   0.408980,   0.839653
  0.441441,   0.407895,   0.836327
  0.450450,   0.406817,   0.833024
  0.459459,   0.405745,   0.829745
  0.468468,   0.404680,   0.826490
  0.477477,   0.403622,   0.823259
  0.486486,   0.402570,   0.820053
  0.495495,   0.401526,   0.816870
  0.504505,   0.400488,   0.813711
  0.513514,   0.399457,   0.810577
  0.522523,   0.398433,   0.807467
  0.531532,   0.397416,   0.804382
  0.540541,   0.396406,   0.801320
  0.549550,   0.395403,   0.798283
  0.558559,   0.394406,   0.795270
  0.567568,   0.393417,   0.792280
  0.576577,   0.392435,   0.789315
  0.585586,   0.391459,   0.786374
  0.594595,   0.390491,   0.783456
  0.603604,   0.389529,   0.780562
  0.612613,   0.388574,   0.777691
  0.621622,   0.387626,   0.774844
  0.630631,   0.386685,   0.772020
  0.639640,   0.385750,   0.769219
  0.648649,   0.384823,   0.766441
  0.657658,   0.383902,   0.763686
  0.666667,   0.382987,   0.760953
  0.675676,   0.382080,   0.758243
  0.684685,   0.381178,   0.755555
  0.693694,   0.380284,   0.752889
  0.702703,   0.379396,   0.750245
  0.711712,   0.378514,   0.747623
  0.720721,   0.377639,   0.745022
  0.729730,   0.376770,   0.742443
  0.738739,   0.375908,   0.739885
  0.747748,   0.375052,   0.737348
  0.756757,   0.374202,   0.734831
  0.765766,   0.373358,   0.732336
  0.774775,   0.372520,   0.729860
  0.783784,   0.371689,   0.727405
  0.792793,   0.370863,   0.724970
  0.801802,   0.370044,   0.722555
  0.810811,   0.369230,   0.720159
  0.819820,   0.368422,   0.717783
  0.828829,   0.367620,   0.715426
  0.837838,   0.366824,   0.713088
  0.846847,   0.366034,   0.710769
  0.855856,   0.365249,   0.708469
  0.864865,   0.364470,   0.706187
  0.873874,   0.363697,   0.703924
  0.882883,   0.362929,   0.701679
  0.891892,   0.362166,   0.699451
  0.900901,   0.361409,   0.697242
  0.909910,   0.360658,   0.695050
  0.918919,   0.359911,   0.692875
  0.927928,   0.359170,   0.690718
  0.936937,   0.358434,   0.688577
  0.945946,   0.357704,   0.686454
  0.954955,   0.356978,   0.684347
  0.963964,   0.356258,   0.682257
  0.972973,   0.355543,   0.680183
  0.981982,   0.354832,   0.678125
  0.990991,   0.354127,   0.676083
  1.000000,   0.353426,   0.674057
  1.009009,   0.352731,   0.672047
  1.018018,   0.352040,   0.670052
  1.027027,   0.351354,   0.668072
  1.036036,   0.350672,   0.666108
  1.045045,   0.349996,   0.664158
  1.054054,   0.349323,   0.662224
  1.063063,   0.348656,   0.660304
  1.072072,   0.347993,   0.658398
  1.081081,   0.347334,   0.656507
  1.090090,   0.346680,   0.654631
  1.099099,   0.346030,   0.652768
  1.108108,   0.345385,   0.650919
  1.117117,   0.344744,   0.649084
  1.126126,   0.344107,   0.647262
  1.135135,   0.343475,   0.645454
  1.144144,   0.342846,   0.643660
  1.153153,   0.342222,   0.641878
  1.162162,   0.341602,   0.640109
  1.171171,   0.340986,   0.638354
  1.180180,   0.340374,   0.636611
  1.189189,   0.339766,   0.634881
  1.198198,   0.339162,   0.633163
  1.207207,   0.338562,   0.631458
  1.216216,   0.337966,   0.629765
  1.225225,   0.337373,   0.628084
  1.234234,   0.336785,   0.626415
  1.243243,   0.336200,   0.624758
  1.252252,   0.335619,   0.623112
  1.261261,   0.335041,   0.621479
  1.270270,   0.334467,   0.619856
  1.279279,   0.333897,   0.618245
  1.288288,   0.333331,   0.616646
  1.297297,   0.332767,   0.615057
  1.306306,   0.332208,   0.613480
  1.315315,   0.331652,   0.611913
  1.324324,   0.331099,   0.610357
  1.333333,   0.330550,   0.608812
  1.342342,   0.330004,   0.607277
  1.351351,   0.329462,   0.605753
  1.360360,   0.328923,   0.604240
  1.369369,   0.328387,   0.602736
  1.378378,   0.327854,   0.601243
  1.387387,   0.327325,   0.599759
  1.396396,   0.326799,   0.598286
  1.405405,   0.326276,   0.596822
  1.414414,   0.325756,   0.595369
  1.423423,   0.325239,   0.593925
  1.432432,   0.324726,   0.592490
  1.441441,   0.324215,   0.591065
  1.450450,   0.323707,   0.589649
  1.459459,   0.323203,   0.588242
  1.468468,   0.322701,   0.586845
  1.477477,   0.322203,   0.585457
  1.486486,   0.321707,   0.584077
  1.495495,   0.321214,   0.582707
  1.504505,   0.320724,   0.581345
  1.513514,   0.320237,   0.579993
  1.522523,   0.319752,   0.578648
  1.531532,   0.319271,   0.577313
  1.540541,   0.318792,   0.575985
  1.549550,   0.318316,   0.574667
  1.558559,   0.317842,   0.573356
  1.567568,   0.317372,   0.572054
  1.576577,   0.316903,   0.570760
  1.585586,   0.316438,   0.569474
  1.594595,   0.315975,   0.568196
  1.603604,   0.315515,   0.566925
  1.612613,   0.315057,   0.565663
  1.621622,   0.314602,   0.564409
  1.630631,   0.314150,   0.563162
  1.639640,   0.313699,   0.561922
  1.648649,   0.313252,   0.560691
  1.657658,   0.312807,   0.559467
  1.666667,   0.312364,   0.558250
  1.675676,   0.311924,   0.557040
  1.684685,   0.311486,   0.555838
  1.693694,   0.311050,   0.554643
  1.702703,   0.310617,   0.553455
  1.711712,   0.310186,   0.552274
  1.720721,   0.309757,   0.551101
  1.729730,   0.309331,   0.549934
  1.738739,   0.308907,   0.548774
  1.747748,   0.308485,   0.547620
  1.756757,   0.308066,   0.546474
  1.765766,   0.307648,   0.545334
  1.774775,   0.307233,   0.544201
  1.783784,   0.306820,   0.543074
  1.792793,   0.306409,   0.541954
  1.801802,   0.306001,   0.540841
  1.810811,   0.305594,   0.539734
  1.819820,   0.305189,   0.538633
  1.828829,   0.304787,   0.537538
  1.837838,   0.304387,   0.536450
  1.846847,   0.303988,   0.535367
  1.855856,   0.303592,   0.534291
  1.864865,   0.303198,   0.533221
  1.873874,   0.302806,   0.532157
  1.882883,   0.302416,   0.531099
  1.891892,   0.302027,   0.530047
  1.900901,   0.301641,   0.529000
  1.909910,   0.301257,   0.527959
  1.918919,   0.300874,   0.526925
  1.927928,   0.300493,   0.525895
  1.936937,   0.300115,   0.524872
  1.945946,   0.299738,   0.523854
  1.954955,   0.299363,   0.522841
  1.963964,   0.298990,   0.521835
  1.972973,   0.298619,   0.520833
  1.981982,   0.298249,   0.519837
  1.990991,   0.297881,   0.518846
  2.000000,   0.297515,   0.517861
  2.009009,   0.297151,   0.516881
  2.018018,   0.296789,   0.515906
  2.027027,   0.296428,   0.514936
  2.036036,   0.296069,   0.513972
  2.045045,   0.295712,   0.513012
  2.054054,   0.295357,   0.512058
  2.063063,   0.295003,   0.511108
  2.072072,   0.294651,   0.510164
  2.081081,   0.294300,   0.509224
  2.090090,   0.293951,   0.508290
  2.099099,   0.293604,   0.507360
  2.108108,   0.293259,   0.506435
  2.117117,   0.292915,   0.505515
  2.126126,   0.292572,   0.504599
  2.135135,   0.292232,   0.503688
  2.144144,   0.291892,   0.502782
  2.153153,   0.291555,   0.501880
  2.162162,   0.291219,   0.500983
  2.171171,   0.290884,   0.500091
  2.180180,   0.290551,   0.499203
  2.189189,   0.290220,   0.498320
  2.198198,   0.289890,   0.497440
  2.207207,   0.289561,   0.496566
  2.216216,   0.289234,   0.495696
  2.225225,   0.288909,   0.494830
  2.234234,   0.288585,   0.493968
  2.243243,   0.288262,   0.493110
  2.252252,   0.287941,   0.492257
  2.261261,   0.287621,   0.491408
  2.270270,   0.287303,   0.490563
  2.279279,   0.286986,   0.489723
  2.288288,   0.286670,   0.488886
  2.297297,   0.286356,   0.488053
  2.306306,   0.286043,   0.487225
  2.315315,   0.285732,   0.486400
  2.324324,   0.285422,   0.485580
  2.333333,   0.285113,   0.484763
  2.342342,   0.284805,   0.483950
  2.351351,   0.284499,   0.483141
  2.360360,   0.284195,   0.482336
  2.369369,   0.283891,   0.481535
  2.378378,   0.283589,   0.480737
  2.387387,   0.283288,   0.479944
  2.396396,   0.282989,   0.479154
  2.405405,   0.282690,   0.478368
  2.414414,   0.282393,   0.477585
  2.423423,   0.282098,   0.476806
  2.432432,   0.281803,   0.476031
  2.441441,   0.281510,   0.475259
  2.450450,   0.281218,   0.474491
  2.459459,   0.280927,   0.473726
  2.468468,   0.280637,   0.472965
  2.477477,   0.280349,   0.472208
  2.486486,   0.280062,   0.471454
  2.495495,   0.279776,   0.470703
  2.504505,   0.279491,   0.469956
  2.513514,   0.279207,   0.469212
  2.522523,   0.278924,   0.468471
  2.531532,   0.278643,   0.467734
  2.540541,   0.278363,   0.467000
  2.549550,   0.278084,   0.466270
  2.558559,   0.277806,   0.465542
  2.567568,   0.277529,   0.464818
  2.576577,   0.277253,   0.464097
  2.585586,   0.276979,   0.463380
  2.594595,   0.276705,   0.462665
  2.603604,   0.276433,   0.461954
  2.612613,   0.276161,   0.461246
  2.621622,   0.275891,   0.460541
  2.630631,   0.275622,   0.459839
  2.639640,   0.275354,   0.459140
  2.648649,   0.275087,   0.458444
  2.657658,   0.274821,   0.457751
  2.666667,   0.274556,   0.457061
  2.675676,   0.274292,   0.456374
  2.684685,   0.274029,   0.455690
  2.693694,   0.273767,   0.455009
  2.702703,   0.273506,   0.454331
  2.711712,   0.273246,   0.453656
  2.720721,   0.272987,   0.452983
  2.729730,   0.272729,   0.452314
  2.738739,   0.272473,   0.451647
  2.747748,   0.272217,   0.450984
  2.756757,   0.271962,   0.450323
  2.765766,   0.271708,   0.449664
  2.774775,   0.271455,   0.449009
  2.783784,   0.271203,   0.448356
  2.792793,   0.270952,   0.447706
  2.801802,   0.270702,   0.447059
  2.810811,   0.270452,   0.446414
  2.819820,   0.270204,   0.445772
  2.828829,   0.269957,   0.445133
  2.837838,   0.269711,   0.444496
  2.846847,   0.269465,   0.443862
  2.855856,   0.269221,   0.443231
  2.864865,   0.268977,   0.442602
  2.873874,   0.268734,   0.441976
  2.882883,   0.268492,   0.441352
  2.891892,   0.268251,   0.440731
  2.900901,   0.268011,   0.440112
  2.909910,   0.267772,   0.439496
  2.918919,   0.267534,   0.438882
  2.927928,   0.267296,   0.438271
  2.936937,   0.267060,   0.437662
  2.945946,   0.266824,   0.437056
  2.954955,   0.266589,   0.436452
  2.963964,   0.266355,   0.435850
  2.972973,   0.266122,   0.435251
  2.981982,   0.265889,   0.434654
  2.990991,   0.265658,   0.434060
  3.000000,   0.265427,   0.433468
  3.009009,   0.265197,   0.432878
  3.018018,   0.264968,   0.432290
  3.027027,   0.264740,   0.431705
  3.036036,   0.264513,   0.431122
  3.045045,   0.264286,   0.430542
  3.054054,   0.264060,   0.429963
  3.063063,   0.263835,   0.429387
  3.072072,   0.263611,   0.428813
  3.081081,   0.263387,   0.428242
  3.090090,   0.263165,   0.427672
  3.099099,   0.262943,   0.427105
  3.108108,   0.262722,   0.426540
  3.117117,   0.262501,   0.425977
  3.126126,   0.262282,   0.425416
  3.135135,   0.262063,   0.424857
  3.144144,   0.261845,   0.424301
  3.153153,   0.261627,   0.423746
  3.162162,   0.261411,   0.423194
  3.171171,   0.261195,   0.422644
  3.180180,   0.260979,   0.422095
  3.189189,   0.260765,   0.421549
  3.198198,   0.260551,   0.421005
  3.207207,   0.260338,   0.420463
  3.216216,   0.260126,   0.419923
  3.225225,   0.259915,   0.419385
  3.234234,   0.259704,   0.418848
  3.243243,   0.259494,   0.418314
  3.252252,   0.259284,   0.417782
  3.261261,   0.259075,   0.417252
  3.270270,   0.258867,   0.416724
  3.279279,   0.258660,   0.416197
  3.288288,   0.258453,   0.415673
  3.297297,   0.258247,   0.415151
  3.306306,   0.258042,   0.414630
  3.315315,   0.257838,   0.414111
  3.324324,   0.257634,   0.413594
  3.333333,   0.257430,   0.413079
  3.342342,   0.257228,   0.412566
  3.351351,   0.257026,   0.412055
  3.360360,   0.256824,   0.411546
  3.369369,   0.256624,   0.411038
  3.378378,   0.256424,   0.410532
  3.387387,   0.256224,   0.410028
  3.396396,   0.256026,   0.409526
  3.405405,   0.255828,   0.409026
  3.414414,   0.255630,   0.408527
  3.423423,   0.255433,   0.408030
  3.432432,   0.255237,   0.407535
  3.441441,   0.255042,   0.407041
  3.450450,   0.254847,   0.406550
  3.459459,   0.254652,   0.406060
  3.468468,   0.254459,   0.405572
  3.477477,   0.254266,   0.405085
  3.486486,   0.254073,   0.404600
  3.495495,   0.253881,   0.404117
  3.504505,   0.253690,   0.403635
  3.513514,   0.253499,   0.403156
  3.522523,   0.253309,   0.402677
  3.531532,   0.253120,   0.402201
  3.540541,   0.252931,   0.401726
  3.549550,   0.252743,   0.401253
  3.558559,   0.252555,   0.400781
  3.567568,   0.252368,   0.400311
  3.576577,   0.252181,   0.399842
  3.585586,   0.251995,   0.399376
  3.594595,   0.251810,   0.398910
  3.603604,   0.251625,   0.398447
  3.612613,   0.251441,   0.397984
  3.621622,   0.251257,   0.397524
  3.630631,   0.251074,   0.397065
  3.639640,   0.250891,   0.396607
  3.648649,   0.250709,   0.396151
  3.657658,   0.250528,   0.395697
  3.666667,   0.250347,   0.395244
  3.675676,   0.250166,   0.394792
  3.684685,   0.249987,   0.394342
  3.693694,   0.249807,   0.393894
  3.702703,   0.249628,   0.393447
  3.711712,   0.249450,   0.393001
  3.720721,   0.249272,   0.392557
  3.729730,   0.249095,   0.392115
  3.738739,   0.248919,   0.391674
  3.747748,   0.248742,   0.391234
  3.756757,   0.248567,   0.390796
  3.765766,   0.248392,   0.390359
  3.774775,   0.248217,   0.389923
  3.783784,   0.248043,   0.389489
  3.792793,   0.247870,   0.389057
  3.801802,   0.247696,   0.388625
  3.810811,   0.247524,   0.388196
  3.819820,   0.247352,   0.387767
  3.828829,   0.247180,   0.387340
  3.837838,   0.247009,   0.386914
  3.846847,   0.246839,   0.386490
  3.855856,   0.246669,   0.386067
  3.864865,   0.246499,   0.385645
  3.873874,   0.246330,   0.385225
  3.882883,   0.246161,   0.384806
  3.891892,   0.245993,   0.384388
  3.900901,   0.245826,   0.383972
  3.909910,   0.245659,   0.383557
  3.918919,   0.245492,   0.383143
  3.927928,   0.245326,   0.382731
  3.936937,   0.245160,   0.382320
  3.945946,   0.244995,   0.381910
  3.954955,   0.244830,   0.381501
  3.963964,   0.244666,   0.381094
  3.972973,   0.244502,   0.380688
  3.981982,   0.244338,   0.380283
  3.990991,   0.244175,   0.379880
  4.000000,   0.244013,   0.379477
  4.009009,   0.243851,   0.379076
  4.018018,   0.243689,   0.378677
  4.027027,   0.243528,   0.378278
  4.036036,   0.243368,   0.377881
  4.045045,   0.243207,   0.377485
  4.054054,   0.243048,   0.377090
  4.063063,   0.242888,   0.376696
  4.072072,   0.242729,   0.376303
  4.081081,   0.242571,   0.375912
  4.090090,   0.242413,   0.375522
  4.099099,   0.242255,   0.375133
  4.108108,   0.242098,   0.374745
  4.117117,   0.241941,   0.374358
  4.126126,   0.241785,   0.373973
  4.135135,   0.241629,   0.373589
  4.144144,   0.241474,   0.373205
  4.153153,   0.241319,   0.372823
  4.162162,   0.241164,   0.372443
  4.171171,   0.241010,   0.372063
  4.180180,   0.240856,   0.371684
  4.189189,   0.240703,   0.371307
  4.198198,   0.240550,   0.370930
  4.207207,   0.240397,   0.370555
  4.216216,   0.240245,   0.370181
  4.225225,   0.240093,   0.369808
  4.234234,   0.239942,   0.369436
  4.243243,   0.239791,   0.369065
  4.252252,   0.239640,   0.368695
  4.261261,   0.239490,   0.368326
  4.270270,   0.239341,   0.367959
  4.279279,   0.239191,   0.367592
  4.288288,   0.239042,   0.367227
  4.297297,   0.238894,   0.366862
  4.306306,   0.238745,   0.366499
  4.315315,   0.238598,   0.366136
  4.324324,   0.238450,   0.365775
  4.333333,   0.238303,   0.365415
  4.342342,   0.238157,   0.365056
  4.351351,   0.238010,   0.364697
  4.360360,   0.237865,   0.364340
  4.369369,   0.237719,   0.363984
  4.378378,   0.237574,   0.363629
  4.387387,   0.237429,   0.363275
  4.396396,   0.237285,   0.362922
  4.405405,   0.237141,   0.362570
  4.414414,   0.236997,   0.362218
  4.423423,   0.236854,   0.361868
  4.432432,   0.236711,   0.361519
  4.441441,   0.236569,   0.361171
  4.450450,   0.236427,   0.360824
  4.459459,   0.236285,   0.360478
  4.468468,   0.236143,   0.360132
  4.477477,   0.236002,   0.359788
  4.486486,   0.235862,   0.359445
  4.495495,   0.235721,   0.359102
  4.504505,   0.235581,   0.358761
  4.513514,   0.235442,   0.358421
  4.522523,   0.235302,   0.358081
  4.531532,   0.235163,   0.357742
  4.540541,   0.235025,   0.357405
  4.549550,   0.234886,   0.357068
  4.558559,   0.234748,   0.356732
  4.567568,   0.234611,   0.356397
  4.576577,   0.234474,   0.356064
  4.585586,   0.234337,   0.355730
  4.594595,   0.234200,   0.355398
  4.603604,   0.234064,   0.355067
  4.612613,   0.233928,   0.354737
  4.621622,   0.233793,   0.354407
  4.630631,   0.233657,   0.354079
  4.639640,   0.233523,   0.353751
  4.648649,   0.233388,   0.353424
  4.657658,   0.233254,   0.353099
  4.666667,   0.233120,   0.352774
  4.675676,   0.232986,   0.352450
  4.684685,   0.232853,   0.352126
  4.693694,   0.232720,   0.351804
  4.702703,   0.232588,   0.351482
  4.711712,   0.232455,   0.351162
  4.720721,   0.232323,   0.350842
  4.729730,   0.232192,   0.350523
  4.738739,   0.232061,   0.350205
  4.747748,   0.231930,   0.349888
  4.756757,   0.231799,   0.349571
  4.765766,   0.231669,   0.349256
  4.774775,   0.231538,   0.348941
  4.783784,   0.231409,   0.348627
  4.792793,   0.231279,   0.348314
  4.801802,   0.231150,   0.348001
  4.810811,   0.231021,   0.347690
  4.819820,   0.230893,   0.347379
  4.828829,   0.230765,   0.347070
  4.837838,   0.230637,   0.346760
  4.846847,   0.230509,   0.346452
  4.855856,   0.230382,   0.346145
  4.864865,   0.230255,   0.345838
  4.873874,   0.230128,   0.345532
  4.882883,   0.230002,   0.345227
  4.891892,   0.229876,   0.344923
  4.900901,   0.229750,   0.344620
  4.909910,   0.229624,   0.344317
  4.918919,   0.229499,   0.344015
  4.927928,   0.229374,   0.343714
  4.936937,   0.229250,   0.343414
  4.945946,   0.229125,   0.343114
  4.954955,   0.229001,   0.342815
  4.963964,   0.228877,   0.342517
  4.972973,   0.228754,   0.342220
  4.981982,   0.228631,   0.341923
  4.990991,   0.228508,   0.341627
  5.000000,   0.228385,   0.341332
  5.009009,   0.228263,   0.341038
  5.018018,   0.228141,   0.340744
  5.027027,   0.228019,   0.340452
  5.036036,   0.227897,   0.340159
  5.045045,   0.227776,   0.339868
  5.054054,   0.227655,   0.339578
  5.063063,   0.227535,   0.339288
  5.072072,   0.227414,   0.338998
  5.081081,   0.227294,   0.338710
  5.090090,   0.227174,   0.338422
