h[m], water_content[-], rel_perm[-]
  0.000000,   0.450000,   1.000000
  0.009009,   0.449614,   0.998376
  0.018018,   0.448979,   0.996048
  0.027027,   0.448199,   0.993370
  0.036036,   0.447312,   0.990452
  0.045045,   0.446339,   0.987353
  0.054054,   0.445295,   0.984114
  0.063063,   0.444191,   0.980764
  0.072072,   0.443035,   0.977325
  0.081081,   0.441835,   0.973814
  0.090090,   0.440598,   0.970246
  0.099099,   0.439327,   0.966632
  0.108108,   0.438029,   0.962982
  0.117117,   0.436705,   0.959305
  0.126126,   0.435362,   0.955609
  0.135135,   0.434000,   0.951900
  0.144144,   0.432624,   0.948182
  0.153153,   0.431236,   0.944462
  0.162162,   0.429838,   0.940744
  0.171171,   0.428431,   0.937030
  0.180180,   0.427019,   0.933325
  0.189189,   0.425602,   0.929631
  0.198198,   0.424183,   0.925951
  0.207207,   0.422762,   0.922287
  0.216216,   0.421341,   0.918641
  0.225225,   0.419921,   0.915015
  0.234234,   0.418504,   0.911410
  0.243243,   0.417089,   0.907828
  0.252252,   0.415678,   0.904270
  0.261261,   0.414271,   0.900736
  0.270270,   0.412870,   0.897229
  0.279279,   0.411475,   0.893748
  0.288288,   0.410086,   0.890294
  0.297297,   0.408705,   0.886868
  0.306306,   0.407331,   0.883470
  0.315315,   0.405965,   0.880101
  0.324324,   0.404607,   0.876760
  0.333333,   0.403258,   0.873449
  0.342342,   0.401918,   0.870167
  0.351351,   0.400588,   0.866914
  0.360360,   0.399266,   0.863692
  0.369369,   0.397955,   0.860498
  0.378378,   0.396653,   0.857334
  0.387387,   0.395361,   0.854200
  0.396396,   0.394079,   0.851095
  0.405405,   0.392808,   0.848020
  0.414414,   0.391547,   0.844974
  0.423423,   0.390296,   0.841957
  0.432432,   0.389055,   0.838968
  0.441441,   0.387825,   0.836009
  0.450450,   0.386606,   0.833078
  0.459459,   0.385397,   0.830176
  0.468468,   0.384199,   0.827302
  0.477477,   0.383011,   0.824455
  0.486486,   0.381834,   0.821637
  0.495495,   0.380667,   0.818845
  0.504505,   0.379510,   0.816081
  0.513514,   0.378364,   0.813344
  0.522523,   0.377228,   0.810633
  0.531532,   0.376103,   0.807949
  0.540541,   0.374988,   0.805291
  0.549550,   0.373883,   0.802658
  0.558559,   0.372788,   0.800051
  0.567568,   0.371703,   0.797469
  0.576577,   0.370628,   0.794912
  0.585586,   0.369563,   0.792380
  0.594595,   0.368508,   0.789871
  0.603604,   0.367463,   0.787387
  0.612613,   0.366427,   0.784927
  0.621622,   0.365400,   0.782490
  0.630631,   0.364384,   0.780076
  0.639640,   0.363376,   0.777685
  0.648649,   0.362378,   0.775317
  0.657658,   0.361389,   0.772971
  0.666667,   0.360409,   0.770647
  0.675676,   0.359438,   0.768344
  0.684685,   0.358476,   0.766064
  0.693694,   0.357522,   0.763804
  0.702703,   0.356578,   0.761565
  0.711712,   0.355642,   0.759347
  0.720721,   0.354714,   0.757149
  0.729730,   0.353795,   0.754972
  0.738739,   0.352885,   0.752814
  0.747748,   0.351982,   0.750675
  0.756757,   0.351088,   0.748557
  0.765766,   0.350202,   0.746457
  0.774775,   0.349323,   0.744376
  0.783784,   0.348453,   0.742313
  0.792793,   0.347590,   0.740269
  0.801802,   0.346735,   0.738243
  0.810811,   0.345887,   0.736235
  0.819820,   0.345047,   0.734245
  0.828829,   0.344215,   0.732272
  0.837838,   0.343390,   0.730316
  0.846847,   0.342571,   0.728377
  0.855856,   0.341761,   0.726455
  0.864865,   0.340957,   0.724550
  0.873874,   0.340160,   0.722660
  0.882883,   0.339370,   0.720787
  0.891892,   0.338586,   0.718930
  0.900901,   0.337810,   0.717088
  0.909910,   0.337040,   0.715262
  0.918919,   0.336277,   0.713451
  0.927928,   0.335520,   0.711655
  0.936937,   0.334769,   0.709875
  0.945946,   0.334025,   0.708108
  0.954955,   0.333287,   0.706357
  0.963964,   0.332555,   0.704619
  0.972973,   0.331829,   0.702896
  0.981982,   0.331110,   0.701187
  0.990991,   0.330396,   0.699492
  1.000000,   0.329688,   0.697810
  1.009009,   0.328986,   0.696142
  1.018018,   0.328290,   0.694487
  1.027027,   0.327599,   0.692845
  1.036036,   0.326914,   0.691216
  1.045045,   0.326234,   0.689600
  1.054054,   0.325560,   0.687997
  1.063063,   0.324891,   0.686406
  1.072072,   0.324228,   0.684827
  1.081081,   0.323570,   0.683261
  1.090090,   0.322917,   0.681706
  1.099099,   0.322269,   0.680164
  1.108108,   0.321626,   0.678633
  1.117117,   0.320988,   0.677114
  1.126126,   0.320355,   0.675606
  1.135135,   0.319727,   0.674110
  1.144144,   0.319104,   0.672625
  1.153153,   0.318486,   0.671151
  1.162162,   0.317872,   0.669688
  1.171171,   0.317263,   0.668235
  1.180180,   0.316659,   0.666794
  1.189189,   0.316059,   0.665362
  1.198198,   0.315464,   0.663942
  1.207207,   0.314873,   0.662531
  1.216216,   0.314287,   0.661131
  1.225225,   0.313705,   0.659741
  1.234234,   0.313127,   0.658361
  1.243243,   0.312554,   0.656990
  1.252252,   0.311984,   0.655630
  1.261261,   0.311419,   0.654279
  1.270270,   0.310858,   0.652937
  1.279279,   0.310301,   0.651605
  1.288288,   0.309748,   0.650282
  1.297297,   0.309199,   0.648968
  1.306306,   0.308654,   0.647664
  1.315315,   0.308113,   0.646368
  1.324324,   0.307576,   0.645081
  1.333333,   0.307042,   0.643803
  1.342342,   0.306513,   0.642534
  1.351351,   0.305987,   0.641273
  1.360360,   0.305464,   0.640021
  1.369369,   0.304945,   0.638777
  1.378378,   0.304430,   0.637542
  1.387387,   0.303919,   0.636315
  1.396396,   0.303411,   0.635095
  1.405405,   0.302906,   0.633884
  1.414414,   0.302405,   0.632681
  1.423423,   0.301907,   0.631486
  1.432432,   0.301413,   0.630298
  1.441441,   0.300922,   0.629119
  1.450450,   0.300434,   0.627946
  1.459459,   0.299949,   0.626782
  1.468468,   0.299468,   0.625625
  1.477477,   0.298990,   0.624475
  1.486486,   0.298515,   0.623332
  1.495495,   0.298043,   0.622197
  1.504505,   0.297574,   0.621069
  1.513514,   0.297108,   0.619948
  1.522523,   0.296646,   0.618834
  1.531532,   0.296186,   0.617727
  1.540541,   0.295729,   0.616626
  1.549550,   0.295276,   0.615533
  1.558559,   0.294825,   0.614446
  1.567568,   0.294377,   0.613366
  1.576577,   0.293931,   0.612293
  1.585586,   0.293489,   0.611226
  1.594595,   0.293049,   0.610165
  1.603604,   0.292613,   0.609111
  1.612613,   0.292178,   0.608064
  1.621622,   0.291747,   0.607022
  1.630631,   0.291318,   0.605987
  1.639640,   0.290892,   0.604958
  1.648649,   0.290469,   0.603935
  1.657658,   0.290048,   0.602918
  1.666667,   0.289630,   0.601907
  1.675676,   0.289214,   0.600902
  1.684685,   0.288801,   0.599902
  1.693694,   0.288390,   0.598909
  1.702703,   0.287982,   0.597921
  1.711712,   0.287576,   0.596939
  1.720721,   0.287172,   0.595963
  1.729730,   0.286771,   0.594992
  1.738739,   0.286373,   0.594027
  1.747748,   0.285976,   0.593067
  1.756757,   0.285582,   0.592112
  1.765766,   0.285191,   0.591163
  1.774775,   0.284801,   0.590219
  1.783784,   0.284414,   0.589281
  1.792793,   0.284029,   0.588348
  1.801802,   0.283647,   0.587420
  1.810811,   0.283266,   0.586497
  1.819820,   0.282888,   0.585579
  1.828829,   0.282512,   0.584666
  1.837838,   0.282138,   0.583758
  1.846847,   0.281766,   0.582855
  1.855856,   0.281397,   0.581957
  1.864865,   0.281029,   0.581064
  1.873874,   0.280663,   0.580176
  1.882883,   0.280300,   0.579292
  1.891892,   0.279938,   0.578414
  1.900901,   0.279579,   0.577539
  1.909910,   0.279221,   0.576670
  1.918919,   0.278866,   0.575805
  1.927928,   0.278512,   0.574945
  1.936937,   0.278160,   0.574089
  1.945946,   0.277811,   0.573237
  1.954955,   0.277463,   0.572391
  1.963964,   0.277117,   0.571548
  1.972973,   0.276773,   0.570710
  1.981982,   0.276430,   0.569876
  1.990991,   0.276090,   0.569047
  2.000000,   0.275751,   0.568221
  2.009009,   0.275414,   0.567400
  2.018018,   0.275079,   0.566583
  2.027027,   0.274746,   0.565771
  2.036036,   0.274415,   0.564962
  2.045045,   0.274085,   0.564157
  2.054054,   0.273757,   0.563357
  2.063063,   0.273431,   0.562560
  2.072072,   0.273106,   0.561768
  2.081081,   0.272783,   0.560979
  2.090090,   0.272462,   0.560195
  2.099099,   0.272142,   0.559414
  2.108108,   0.271824,   0.558637
  2.117117,   0.271508,   0.557864
  2.126126,   0.271193,   0.557094
  2.135135,   0.270880,   0.556329
  2.144144,   0.270568,   0.555567
  2.153153,   0.270258,   0.554808
  2.162162,   0.269950,   0.554054
  2.171171,   0.269643,   0.553303
  2.180180,   0.269337,   0.552555
  2.189189,   0.269034,   0.551812
  2.198198,   0.268731,   0.551071
  2.207207,   0.268430,   0.550335
  2.216216,   0.268131,   0.549601
  2.225225,   0.267833,   0.548872
  2.234234,   0.267537,   0.548145
  2.243243,   0.267242,   0.547422
  2.252252,   0.266948,   0.546703
  2.261261,   0.266656,   0.545987
  2.270270,   0.266365,   0.545274
  2.279279,   0.266076,   0.544564
  2.288288,   0.265788,   0.543858
  2.297297,   0.265502,   0.543155
  2.306306,   0.265216,   0.542455
  2.315315,   0.264933,   0.541758
  2.324324,   0.264650,   0.541065
  2.333333,   0.264369,   0.540374
  2.342342,   0.264089,   0.539687
  2.351351,   0.263811,   0.539003
  2.360360,   0.263533,   0.538322
  2.369369,   0.263258,   0.537644
  2.378378,   0.262983,   0.536969
  2.387387,   0.262710,   0.536297
  2.396396,   0.262437,   0.535628
  2.405405,   0.262167,   0.534962
  2.414414,   0.261897,   0.534299
  2.423423,   0.261629,   0.533639
  2.432432,   0.261362,   0.532981
  2.441441,   0.261096,   0.532327
  2.450450,   0.260831,   0.531676
  2.459459,   0.260568,   0.531027
  2.468468,   0.260305,   0.530381
  2.477477,   0.260044,   0.529738
  2.486486,   0.259784,   0.529098
  2.495495,   0.259525,   0.528460
  2.504505,   0.259268,   0.527825
  2.513514,   0.259011,   0.527193
  2.522523,   0.258756,   0.526564
  2.531532,   0.258502,   0.525937
  2.540541,   0.258249,   0.525313
  2.549550,   0.257997,   0.524691
  2.558559,   0.257746,   0.524073
  2.567568,   0.257496,   0.523456
  2.576577,   0.257247,   0.522843
  2.585586,   0.257000,   0.522232
  2.594595,   0.256753,   0.521623
  2.603604,   0.256508,   0.521017
  2.612613,   0.256263,   0.520413
  2.621622,   0.256020,   0.519812
  2.630631,   0.255778,   0.519214
  2.639640,   0.255536,   0.518618
  2.648649,   0.255296,   0.518024
  2.657658,   0.255057,   0.517433
  2.666667,   0.254819,   0.516844
  2.675676,   0.254581,   0.516257
  2.684685,   0.254345,   0.515673
  2.693694,   0.254110,   0.515092
  2.702703,   0.253876,   0.514512
  2.711712,   0.253642,   0.513935
  2.720721,   0.253410,   0.513360
  2.729730,   0.253179,   0.512788
  2.738739,   0.252949,   0.512218
  2.747748,   0.252719,   0.511650
  2.756757,   0.252491,   0.511084
  2.765766,   0.252263,   0.510521
  2.774775,   0.252037,   0.509960
  2.783784,   0.251811,   0.509401
  2.792793,   0.251586,   0.508844
  2.801802,   0.251362,   0.508289
  2.810811,   0.251139,   0.507737
  2.819820,   0.250917,   0.507186
  2.828829,   0.250696,   0.506638
  2.837838,   0.250476,   0.506092
  2.846847,   0.250257,   0.505548
  2.855856,   0.250038,   0.505006
  2.864865,   0.249820,   0.504466
  2.873874,   0.249604,   0.503928
  2.882883,   0.249388,   0.503393
  2.891892,   0.249173,   0.502859
  2.900901,   0.248959,   0.502327
  2.909910,   0.248745,   0.501797
  2.918919,   0.248533,   0.501270
  2.927928,   0.248321,   0.500744
  2.936937,   0.248110,   0.500220
  2.945946,   0.247900,   0.499699
  2.954955,   0.247691,   0.499179
  2.963964,   0.247483,   0.498661
  2.972973,   0.247275,   0.498145
  2.981982,   0.247068,   0.497631
  2.990991,   0.246862,   0.497119
  3.000000,   0.246657,   0.496609
  3.009009,   0.246452,   0.496100
  3.018018,   0.246249,   0.495594
  3.027027,   0.246046,   0.495089
  3.036036,   0.245844,   0.494586
  3.045045,   0.245642,   0.494085
  3.054054,   0.245442,   0.493586
  3.063063,   0.245242,   0.493089
  3.072072,   0.245043,   0.492593
  3.081081,   0.244845,   0.492099
  3.090090,   0.244647,   0.491607
  3.099099,   0.244450,   0.491117
