h[m], water_content[-], rel_perm[-]
  0.000000,   0.360000,   1.000000
  0.009009,   0.359934,   0.999762
  0.018018,   0.359859,   0.999497
  0.027027,   0.359781,   0.999222
  0.036036,   0.359701,   0.998940
  0.045045,   0.359620,   0.998652
  0.054054,   0.359537,   0.998361
  0.063063,   0.359454,   0.998068
  0.072072,   0.359369,   0.997771
  0.081081,   0.359284,   0.997473
  0.090090,   0.359199,   0.997174
  0.099099,   0.359113,   0.996873
  0.108108,   0.359026,   0.996571
  0.117117,   0.358940,   0.996268
  0.126126,   0.358853,   0.995964
  0.135135,   0.358766,   0.995660
  0.144144,   0.358678,   0.995355
  0.153153,   0.358591,   0.995050
  0.162162,   0.358503,   0.994745
  0.171171,   0.358416,   0.994440
  0.180180,   0.358328,   0.994134
  0.189189,   0.358240,   0.993828
  0.198198,   0.358152,   0.993523
  0.207207,   0.358065,   0.993217
  0.216216,   0.357977,   0.992912
  0.225225,   0.357889,   0.992607
  0.234234,   0.357801,   0.992302
  0.243243,   0.357713,   0.991997
  0.252252,   0.357626,   0.991693
  0.261261,   0.357538,   0.991389
  0.270270,   0.357451,   0.991085
  0.279279,   0.357363,   0.990782
  0.288288,   0.357276,   0.990479
  0.297297,   0.357189,   0.990177
  0.306306,   0.357102,   0.989875
  0.315315,   0.357015,   0.989573
  0.324324,   0.356928,   0.989272
  0.333333,   0.356841,   0.988971
  0.342342,   0.356755,   0.988671
  0.351351,   0.356668,   0.988372
  0.360360,   0.356582,   0.988073
  0.369369,   0.356496,   0.987775
  0.378378,   0.356410,   0.987477
  0.387387,   0.356324,   0.987180
  0.396396,   0.356238,   0.986883
  0.405405,   0.356152,   0.986587
  0.414414,   0.356067,   0.986292
  0.423423,   0.355982,   0.985997
  0.432432,   0.355897,   0.985703
  0.441441,   0.355812,   0.985410
  0.450450,   0.355727,   0.985117
  0.459459,   0.355643,   0.984825
  0.468468,   0.355558,   0.984533
  0.477477,   0.355474,   0.984242
  0.486486,   0.355390,   0.983952
  0.495495,   0.355306,   0.983663
  0.504505,   0.355223,   0.983374
  0.513514,   0.355139,   0.983086
  0.522523,   0.355056,   0.982798
  0.531532,   0.354973,   0.982512
  0.540541,   0.354890,   0.982226
  0.549550,   0.354807,   0.981940
  0.558559,   0.354725,   0.981656
  0.567568,   0.354642,   0.981372
  0.576577,   0.354560,   0.981089
  0.585586,   0.354478,   0.980806
  0.594595,   0.354397,   0.980524
  0.603604,   0.354315,   0.980243
  0.612613,   0.354234,   0.979963
  0.621622,   0.354153,   0.979683
  0.630631,   0.354072,   0.979404
  0.639640,   0.353991,   0.979126
  0.648649,   0.353911,   0.978848
  0.657658,   0.353830,   0.978571
  0.666667,   0.353750,   0.978295
  0.675676,   0.353670,   0.978020
  0.684685,   0.353590,   0.977745
  0.693694,   0.353511,   0.977471
  0.702703,   0.353432,   0.977198
  0.711712,   0.353352,   0.976925
  0.720721,   0.353273,   0.976653
  0.729730,   0.353195,   0.976382
  0.738739,   0.353116,   0.976112
  0.747748,   0.353038,   0.975842
  0.756757,   0.352960,   0.975573
  0.765766,   0.352882,   0.975305
  0.774775,   0.352804,   0.975037
  0.783784,   0.352726,   0.974770
  0.792793,   0.352649,   0.974504
  0.801802,   0.352572,   0.974238
  0.810811,   0.352495,   0.973973
  0.819820,   0.352418,   0.973709
  0.828829,   0.352342,   0.973446
  0.837838,   0.352265,   0.973183
  0.846847,   0.352189,   0.972921
  0.855856,   0.352113,   0.972660
  0.864865,   0.352037,   0.972399
  0.873874,   0.351962,   0.972139
  0.882883,   0.351886,   0.971880
  0.891892,   0.351811,   0.971621
  0.900901,   0.351736,   0.971363
  0.909910,   0.351661,   0.971106
  0.918919,   0.351587,   0.970850
  0.927928,   0.351512,   0.970594
  0.936937,   0.351438,   0.970339
  0.945946,   0.351364,   0.970084
  0.954955,   0.351290,   0.969830
  0.963964,   0.351217,   0.969577
  0.972973,   0.351143,   0.969325
  0.981982,   0.351070,   0.969073
  0.990991,   0.350997,   0.968822
  1.000000,   0.350924,   0.968571
  1.009009,   0.350851,   0.968321
  1.018018,   0.350779,   0.968072
  1.027027,   0.350706,   0.967824
  1.036036,   0.350634,   0.967576
  1.045045,   0.350562,   0.967328
  1.054054,   0.350490,   0.967082
  1.063063,   0.350419,   0.966836
  1.072072,   0.350347,   0.966591
  1.081081,   0.350276,   0.966346
  1.090090,   0.350205,   0.966102
  1.099099,   0.350134,   0.965859
  1.108108,   0.350064,   0.965616
  1.117117,   0.349993,   0.965374
  1.126126,   0.349923,   0.965133
  1.135135,   0.349853,   0.964892
  1.144144,   0.349783,   0.964652
  1.153153,   0.349713,   0.964412
  1.162162,   0.349643,   0.964173
  1.171171,   0.349574,   0.963935
  1.180180,   0.349505,   0.963697
  1.189189,   0.349436,   0.963460
  1.198198,   0.349367,   0.963224
  1.207207,   0.349298,   0.962988
  1.216216,   0.349230,   0.962752
  1.225225,   0.349161,   0.962518
  1.234234,   0.349093,   0.962284
  1.243243,   0.349025,   0.962050
  1.252252,   0.348957,   0.961818
  1.261261,   0.348890,   0.961585
  1.270270,   0.348822,   0.961354
  1.279279,   0.348755,   0.961123
  1.288288,   0.348688,   0.960892
  1.297297,   0.348621,   0.960662
  1.306306,   0.348554,   0.960433
  1.315315,   0.348487,   0.960204
  1.324324,   0.348421,   0.959976
  1.333333,   0.348354,   0.959749
  1.342342,   0.348288,   0.959522
  1.351351,   0.348222,   0.959296
  1.360360,   0.348156,   0.959070
  1.369369,   0.348091,   0.958845
  1.378378,   0.348025,   0.958620
  1.387387,   0.347960,   0.958396
  1.396396,   0.347895,   0.958172
  1.405405,   0.347830,   0.957949
  1.414414,   0.347765,   0.957727
  1.423423,   0.347700,   0.957505
  1.432432,   0.347636,   0.957284
  1.441441,   0.347571,   0.957063
  1.450450,   0.347507,   0.956843
  1.459459,   0.347443,   0.956623
  1.468468,   0.347379,   0.956404
  1.477477,   0.347315,   0.956186
  1.486486,   0.347252,   0.955968
  1.495495,   0.347188,   0.955750
  1.504505,   0.347125,   0.955534
  1.513514,   0.347062,   0.955317
  1.522523,   0.346999,   0.955101
  1.531532,   0.346936,   0.954886
  1.540541,   0.346874,   0.954671
  1.549550,   0.346811,   0.954457
  1.558559,   0.346749,   0.954243
  1.567568,   0.346687,   0.954030
  1.576577,   0.346625,   0.953818
  1.585586,   0.346563,   0.953605
  1.594595,   0.346501,   0.953394
  1.603604,   0.346439,   0.953183
  1.612613,   0.346378,   0.952972
  1.621622,   0.346317,   0.952762
  1.630631,   0.346256,   0.952552
  1.639640,   0.346195,   0.952343
  1.648649,   0.346134,   0.952135
  1.657658,   0.346073,   0.951927
  1.666667,   0.346012,   0.951719
  1.675676,   0.345952,   0.951512
  1.684685,   0.345892,   0.951306
  1.693694,   0.345832,   0.951100
  1.702703,   0.345772,   0.950894
  1.711712,   0.345712,   0.950689
  1.720721,   0.345652,   0.950484
  1.729730,   0.345593,   0.950280
  1.738739,   0.345533,   0.950077
  1.747748,   0.345474,   0.949873
  1.756757,   0.345415,   0.949671
  1.765766,   0.345356,   0.949469
  1.774775,   0.345297,   0.949267
  1.783784,   0.345238,   0.949066
  1.792793,   0.345180,   0.948865
  1.801802,   0.345121,   0.948665
  1.810811,   0.345063,   0.948465
  1.819820,   0.345005,   0.948266
  1.828829,   0.344947,   0.948067
  1.837838,   0.344889,   0.947868
  1.846847,   0.344831,   0.947670
  1.855856,   0.344773,   0.947473
  1.864865,   0.344716,   0.947276
  1.873874,   0.344658,   0.947079
  1.882883,   0.344601,   0.946883
  1.891892,   0.344544,   0.946688
  1.900901,   0.344487,   0.946492
  1.909910,   0.344430,   0.946298
  1.918919,   0.344373,   0.946103
  1.927928,   0.344317,   0.945910
  1.936937,   0.344260,   0.945716
  1.945946,   0.344204,   0.945523
  1.954955,   0.344148,   0.945331
  1.963964,   0.344092,   0.945139
  1.972973,   0.344036,   0.944947
  1.981982,   0.343980,   0.944756
  1.990991,   0.343924,   0.944565
  2.000000,   0.343869,   0.944375
  2.009009,   0.343813,   0.944185
  2.018018,   0.343758,   0.943995
  2.027027,   0.343703,   0.943806
  2.036036,   0.343648,   0.943618
  2.045045,   0.343593,   0.943429
  2.054054,   0.343538,   0.943242
  2.063063,   0.343483,   0.943054
  2.072072,   0.343428,   0.942867
  2.081081,   0.343374,   0.942681
  2.090090,   0.343320,   0.942495
  2.099099,   0.343265,   0.942309
  2.108108,   0.343211,   0.942124
  2.117117,   0.343157,   0.941939
  2.126126,   0.343103,   0.941754
  2.135135,   0.343050,   0.941570
  2.144144,   0.342996,   0.941387
  2.153153,   0.342943,   0.941203
  2.162162,   0.342889,   0.941021
  2.171171,   0.342836,   0.940838
  2.180180,   0.342783,   0.940656
  2.189189,   0.342730,   0.940475
  2.198198,   0.342677,   0.940293
  2.207207,   0.342624,   0.940113
  2.216216,   0.342571,   0.939932
  2.225225,   0.342519,   0.939752
  2.234234,   0.342466,   0.939572
  2.243243,   0.342414,   0.939393
  2.252252,   0.342362,   0.939214
  2.261261,   0.342309,   0.939036
  2.270270,   0.342257,   0.938858
  2.279279,   0.342205,   0.938680
  2.288288,   0.342154,   0.938503
  2.297297,   0.342102,   0.938326
  2.306306,   0.342050,   0.938149
  2.315315,   0.341999,   0.937973
  2.324324,   0.341948,   0.937797
  2.333333,   0.341896,   0.937622
  2.342342,   0.341845,   0.937446
  2.351351,   0.341794,   0.937272
  2.360360,   0.341743,   0.937097
  2.369369,   0.341692,   0.936923
  2.378378,   0.341642,   0.936750
  2.387387,   0.341591,   0.936577
  2.396396,   0.341541,   0.936404
  2.405405,   0.341490,   0.936231
  2.414414,   0.341440,   0.936059
  2.423423,   0.341390,   0.935887
  2.432432,   0.341340,   0.935716
  2.441441,   0.341290,   0.935545
  2.450450,   0.341240,   0.935374
  2.459459,   0.341190,   0.935204
  2.468468,   0.341140,   0.935034
  2.477477,   0.341091,   0.934864
  2.486486,   0.341041,   0.934695
  2.495495,   0.340992,   0.934526
  2.504505,   0.340943,   0.934357
  2.513514,   0.340893,   0.934189
  2.522523,   0.340844,   0.934021
  2.531532,   0.340795,   0.933854
  2.540541,   0.340747,   0.933686
  2.549550,   0.340698,   0.933520
  2.558559,   0.340649,   0.933353
  2.567568,   0.340601,   0.933187
  2.576577,   0.340552,   0.933021
  2.585586,   0.340504,   0.932856
  2.594595,   0.340456,   0.932690
  2.603604,   0.340407,   0.932526
  2.612613,   0.340359,   0.932361
  2.621622,   0.340311,   0.932197
  2.630631,   0.340264,   0.932033
  2.639640,   0.340216,   0.931870
  2.648649,   0.340168,   0.931706
  2.657658,   0.340120,   0.931544
  2.666667,   0.340073,   0.931381
  2.675676,   0.340026,   0.931219
  2.684685,   0.339978,   0.931057
  2.693694,   0.339931,   0.930895
  2.702703,   0.339884,   0.930734
  2.711712,   0.339837,   0.930573
  2.720721,   0.339790,   0.930413
  2.729730,   0.339743,   0.930252
  2.738739,   0.339696,   0.930093
  2.747748,   0.339650,   0.929933
  2.756757,   0.339603,   0.929774
  2.765766,   0.339557,   0.929615
  2.774775,   0.339510,   0.929456
  2.783784,   0.339464,   0.929298
  2.792793,   0.339418,   0.929139
  2.801802,   0.339372,   0.928982
  2.810811,   0.339326,   0.928824
  2.819820,   0.339280,   0.928667
  2.828829,   0.339234,   0.928510
  2.837838,   0.339188,   0.928354
  2.846847,   0.339143,   0.928198
  2.855856,   0.339097,   0.928042
  2.864865,   0.339052,   0.927886
  2.873874,   0.339006,   0.927731
  2.882883,   0.338961,   0.927576
  2.891892,   0.338916,   0.927421
  2.900901,   0.338871,   0.927267
  2.909910,   0.338825,   0.927112
  2.918919,   0.338781,   0.926959
  2.927928,   0.338736,   0.926805
  2.936937,   0.338691,   0.926652
  2.945946,   0.338646,   0.926499
  2.954955,   0.338602,   0.926346
  2.963964,   0.338557,   0.926194
  2.972973,   0.338513,   0.926042
  2.981982,   0.338468,   0.925890
  2.990991,   0.338424,   0.925739
  3.000000,   0.338380,   0.925587
  3.009009,   0.338336,   0.925437
  3.018018,   0.338292,   0.925286
  3.027027,   0.338248,   0.925136
  3.036036,   0.338204,   0.924985
  3.045045,   0.338160,   0.924836
  3.054054,   0.338116,   0.924686
  3.063063,   0.338073,   0.924537
  3.072072,   0.338029,   0.924388
  3.081081,   0.337986,   0.924239
  3.090090,   0.337942,   0.924091
  3.099099,   0.337899,   0.923943
  3.108108,   0.337856,   0.923795
  3.117117,   0.337813,   0.923647
  3.126126,   0.337770,   0.923500
  3.135135,   0.337727,   0.923353
  3.144144,   0.337684,   0.923206
  3.153153,   0.337641,   0.923060
  3.162162,   0.337598,   0.922914
  3.171171,   0.337556,   0.922768
  3.180180,   0.337513,   0.922622
  3.189189,   0.337470,   0.922477
  3.198198,   0.337428,   0.922332
  3.207207,   0.337386,   0.922187
  3.216216,   0.337343,   0.922042
  3.225225,   0.337301,   0.921898
  3.234234,   0.337259,   0.921754
  3.243243,   0.337217,   0.921610
  3.252252,   0.337175,   0.921466
  3.261261,   0.337133,   0.921323
  3.270270,   0.337091,   0.921180
  3.279279,   0.337050,   0.921037
  3.288288,   0.337008,   0.920895
  3.297297,   0.336966,   0.920752
  3.306306,   0.336925,   0.920610
  3.315315,   0.336883,   0.920469
  3.324324,   0.336842,   0.920327
  3.333333,   0.336801,   0.920186
  3.342342,   0.336760,   0.920045
  3.351351,   0.336718,   0.919904
  3.360360,   0.336677,   0.919764
  3.369369,   0.336636,   0.919623
  3.378378,   0.336595,   0.919483
  3.387387,   0.336555,   0.919344
  3.396396,   0.336514,   0.919204
  3.405405,   0.336473,   0.919065
  3.414414,   0.336432,   0.918926
  3.423423,   0.336392,   0.918787
  3.432432,   0.336351,   0.918648
  3.441441,   0.336311,   0.918510
  3.450450,   0.336271,   0.918372
  3.459459,   0.336230,   0.918234
  3.468468,   0.336190,   0.918097
  3.477477,   0.336150,   0.917960
  3.486486,   0.336110,   0.917822
  3.495495,   0.336070,   0.917686
  3.504505,   0.336030,   0.917549
  3.513514,   0.335990,   0.917413
  3.522523,   0.335950,   0.917277
  3.531532,   0.335911,   0.917141
  3.540541,   0.335871,   0.917005
  3.549550,   0.335831,   0.916870
  3.558559,   0.335792,   0.916734
