h[m], water_content[-], rel_perm[-]
  0.000000,   0.430000,   1.000000
  0.009009,   0.429806,   0.999300
  0.018018,   0.429546,   0.998362
  0.027027,   0.429254,   0.997310
  0.036036,   0.428941,   0.996180
  0.045045,   0.428610,   0.994990
  0.054054,   0.428267,   0.993751
  0.063063,   0.427912,   0.992472
  0.072072,   0.427547,   0.991160
  0.081081,   0.427175,   0.989819
  0.090090,   0.426795,   0.988454
  0.099099,   0.426410,   0.987066
  0.108108,   0.426019,   0.985661
  0.117117,   0.425624,   0.984238
  0.126126,   0.425224,   0.982802
  0.135135,   0.424821,   0.981353
  0.144144,   0.424415,   0.979894
  0.153153,   0.424006,   0.978425
  0.162162,   0.423595,   0.976948
  0.171171,   0.423182,   0.975464
  0.180180,   0.422767,   0.973974
  0.189189,   0.422351,   0.972480
  0.198198,   0.421933,   0.970981
  0.207207,   0.421514,   0.969479
  0.216216,   0.421094,   0.967974
  0.225225,   0.420674,   0.966468
  0.234234,   0.420253,   0.964960
  0.243243,   0.419832,   0.963451
  0.252252,   0.419411,   0.961943
  0.261261,   0.418990,   0.960434
  0.270270,   0.418568,   0.958926
  0.279279,   0.418147,   0.957419
  0.288288,   0.417727,   0.955914
  0.297297,   0.417306,   0.954411
  0.306306,   0.416886,   0.952910
  0.315315,   0.416467,   0.951411
  0.324324,   0.416048,   0.949915
  0.333333,   0.415630,   0.948422
  0.342342,   0.415213,   0.946932
  0.351351,   0.414797,   0.945446
  0.360360,   0.414381,   0.943964
  0.369369,   0.413967,   0.942485
  0.378378,   0.413554,   0.941011
  0.387387,   0.413141,   0.939540
  0.396396,   0.412730,   0.938075
  0.405405,   0.412320,   0.936613
  0.414414,   0.411911,   0.935157
  0.423423,   0.411504,   0.933705
  0.432432,   0.411097,   0.932258
  0.441441,   0.410692,   0.930816
  0.450450,   0.410289,   0.929380
  0.459459,   0.409886,   0.927948
  0.468468,   0.409485,   0.926522
  0.477477,   0.409086,   0.925102
  0.486486,   0.408687,   0.923687
  0.495495,   0.408291,   0.922277
  0.504505,   0.407896,   0.920873
  0.513514,   0.407502,   0.919474
  0.522523,   0.407109,   0.918082
  0.531532,   0.406719,   0.916695
  0.540541,   0.406329,   0.915313
  0.549550,   0.405942,   0.913938
  0.558559,   0.405556,   0.912569
  0.567568,   0.405171,   0.911205
  0.576577,   0.404788,   0.909847
  0.585586,   0.404406,   0.908495
  0.594595,   0.404026,   0.907149
  0.603604,   0.403648,   0.905809
  0.612613,   0.403271,   0.904475
  0.621622,   0.402896,   0.903147
  0.630631,   0.402522,   0.901825
  0.639640,   0.402150,   0.900509
  0.648649,   0.401780,   0.899199
  0.657658,   0.401411,   0.897895
  0.666667,   0.401044,   0.896597
  0.675676,   0.400678,   0.895305
  0.684685,   0.400314,   0.894019
  0.693694,   0.399952,   0.892739
  0.702703,   0.399591,   0.891464
  0.711712,   0.399231,   0.890196
  0.720721,   0.398874,   0.888934
  0.729730,   0.398518,   0.887677
  0.738739,   0.398163,   0.886427
  0.747748,   0.397810,   0.885182
  0.756757,   0.397459,   0.883943
  0.765766,   0.397109,   0.882711
  0.774775,   0.396761,   0.881483
  0.783784,   0.396414,   0.880262
  0.792793,   0.396069,   0.879047
  0.801802,   0.395725,   0.877837
  0.810811,   0.395383,   0.876633
  0.819820,   0.395043,   0.875435
  0.828829,   0.394704,   0.874242
  0.837838,   0.394366,   0.873056
  0.846847,   0.394030,   0.871875
  0.855856,   0.393696,   0.870699
  0.864865,   0.393363,   0.869529
  0.873874,   0.393032,   0.868365
  0.882883,   0.392702,   0.867206
  0.891892,   0.392373,   0.866053
  0.900901,   0.392046,   0.864905
  0.909910,   0.391721,   0.863763
  0.918919,   0.391397,   0.862626
  0.927928,   0.391075,   0.861495
  0.936937,   0.390754,   0.860369
  0.945946,   0.390434,   0.859248
  0.954955,   0.390116,   0.858133
  0.963964,   0.389799,   0.857023
  0.972973,   0.389484,   0.855918
  0.981982,   0.389170,   0.854818
  0.990991,   0.388858,   0.853724
  1.000000,   0.388546,   0.852635
  1.009009,   0.388237,   0.851551
  1.018018,   0.387929,   0.850472
  1.027027,   0.387622,   0.849398
  1.036036,   0.387316,   0.848330
  1.045045,   0.387012,   0.847266
  1.054054,   0.386709,   0.846207
  1.063063,   0.386408,   0.845154
  1.072072,   0.386108,   0.844105
  1.081081,   0.385809,   0.843061
  1.090090,   0.385512,   0.842022
  1.099099,   0.385216,   0.840988
  1.108108,   0.384921,   0.839959
  1.117117,   0.384627,   0.838934
  1.126126,   0.384335,   0.837915
  1.135135,   0.384044,   0.836900
  1.144144,   0.383755,   0.835889
  1.153153,   0.383466,   0.834884
  1.162162,   0.383179,   0.833883
  1.171171,   0.382894,   0.832887
  1.180180,   0.382609,   0.831895
  1.189189,   0.382326,   0.830908
  1.198198,   0.382044,   0.829925
  1.207207,   0.381763,   0.828947
  1.216216,   0.381483,   0.827973
  1.225225,   0.381205,   0.827004
  1.234234,   0.380928,   0.826039
  1.243243,   0.380652,   0.825079
  1.252252,   0.380377,   0.824123
  1.261261,   0.380103,   0.823171
  1.270270,   0.379831,   0.822223
  1.279279,   0.379560,   0.821280
  1.288288,   0.379289,   0.820341
  1.297297,   0.379020,   0.819406
  1.306306,   0.378753,   0.818476
  1.315315,   0.378486,   0.817549
  1.324324,   0.378220,   0.816627
  1.333333,   0.377956,   0.815709
  1.342342,   0.377693,   0.814795
  1.351351,   0.377431,   0.813885
  1.360360,   0.377170,   0.812979
  1.369369,   0.376910,   0.812077
  1.378378,   0.376651,   0.811179
  1.387387,   0.376393,   0.810285
  1.396396,   0.376136,   0.809395
  1.405405,   0.375881,   0.808508
  1.414414,   0.375626,   0.807626
  1.423423,   0.375372,   0.806747
  1.432432,   0.375120,   0.805873
  1.441441,   0.374869,   0.805002
  1.450450,   0.374618,   0.804134
  1.459459,   0.374369,   0.803271
  1.468468,   0.374120,   0.802411
  1.477477,   0.373873,   0.801555
  1.486486,   0.373627,   0.800703
  1.495495,   0.373382,   0.799854
  1.504505,   0.373137,   0.799009
  1.513514,   0.372894,   0.798168
  1.522523,   0.372652,   0.797330
  1.531532,   0.372410,   0.796495
  1.540541,   0.372170,   0.795665
  1.549550,   0.371930,   0.794837
  1.558559,   0.371692,   0.794013
  1.567568,   0.371455,   0.793193
  1.576577,   0.371218,   0.792376
  1.585586,   0.370982,   0.791562
  1.594595,   0.370748,   0.790752
  1.603604,   0.370514,   0.789946
  1.612613,   0.370281,   0.789142
  1.621622,   0.370049,   0.788342
  1.630631,   0.369818,   0.787545
  1.639640,   0.369588,   0.786752
  1.648649,   0.369359,   0.785961
  1.657658,   0.369131,   0.785174
  1.666667,   0.368904,   0.784391
  1.675676,   0.368677,   0.783610
  1.684685,   0.368451,   0.782833
  1.693694,   0.368227,   0.782058
  1.702703,   0.368003,   0.781287
  1.711712,   0.367780,   0.780519
  1.720721,   0.367558,   0.779754
  1.729730,   0.367336,   0.778992
  1.738739,   0.367116,   0.778234
  1.747748,   0.366896,   0.777478
  1.756757,   0.366678,   0.776725
  1.765766,   0.366460,   0.775976
  1.774775,   0.366243,   0.775229
  1.783784,   0.366026,   0.774485
  1.792793,   0.365811,   0.773744
  1.801802,   0.365596,   0.773006
